ts,open,high,low,close,volume
2025-12-07 22:00:00+00:00,155.154,155.378,154.907,154.912,18149.0
2025-12-08 02:00:00+00:00,154.909,155.262,154.893,155.196,18068.0
2025-12-08 06:00:00+00:00,155.187,155.537,155.1,155.469,26905.0
2025-12-08 10:00:00+00:00,155.47,155.657,155.405,155.623,24895.0
2025-12-08 14:00:00+00:00,155.622,155.98,155.385,155.746,36230.0
2025-12-08 18:00:00+00:00,155.745,155.956,155.699,155.914,14627.0
2025-12-08 22:00:00+00:00,155.819,156.031,155.762,155.791,16003.0
2025-12-09 02:00:00+00:00,155.795,156.112,155.738,156.002,16993.0
2025-12-09 06:00:00+00:00,156.003,156.425,155.956,156.081,29947.0
2025-12-09 10:00:00+00:00,156.08,156.51,156.042,156.339,27788.0
2025-12-09 14:00:00+00:00,156.338,156.918,156.31,156.911,38120.0
2025-12-09 18:00:00+00:00,156.912,156.947,156.802,156.879,14739.0
2025-12-09 22:00:00+00:00,156.764,156.931,156.663,156.702,17105.0
2025-12-10 02:00:00+00:00,156.703,156.719,156.553,156.701,14539.0
2025-12-10 06:00:00+00:00,156.702,156.884,156.573,156.814,23031.0
2025-12-10 10:00:00+00:00,156.815,156.853,156.547,156.547,22538.0
2025-12-10 14:00:00+00:00,156.546,156.622,156.242,156.3,28263.0
2025-12-10 18:00:00+00:00,156.3,156.672,155.789,156.002,43476.0
2025-12-10 22:00:00+00:00,155.856,156.025,155.565,155.714,21750.0
2025-12-11 02:00:00+00:00,155.713,156.066,155.484,156.06,25997.0
2025-12-11 06:00:00+00:00,156.056,156.158,155.778,155.86,31944.0
2025-12-11 10:00:00+00:00,155.859,155.944,155.223,155.277,35101.0
2025-12-11 14:00:00+00:00,155.276,155.288,154.942,155.235,41738.0
2025-12-11 18:00:00+00:00,155.234,155.667,155.207,155.556,24463.0
2025-12-11 22:00:00+00:00,155.578,155.764,155.445,155.664,20714.0
2025-12-12 02:00:00+00:00,155.663,155.77,155.628,155.737,15863.0
2025-12-12 06:00:00+00:00,155.738,155.907,155.533,155.882,26140.0
2025-12-12 10:00:00+00:00,155.883,156.122,155.77,156.04,21814.0
2025-12-12 14:00:00+00:00,156.043,156.096,155.674,155.778,39165.0
2025-12-12 18:00:00+00:00,155.776,155.935,155.71,155.817,19048.0
2025-12-14 22:00:00+00:00,155.798,155.98,155.599,155.607,18520.0
2025-12-15 02:00:00+00:00,155.606,155.644,155.027,155.031,23782.0
2025-12-15 06:00:00+00:00,155.03,155.289,154.936,154.961,29794.0
2025-12-15 10:00:00+00:00,154.962,155.154,154.847,155.154,23144.0
2025-12-15 14:00:00+00:00,155.166,155.361,154.83,155.304,37211.0
2025-12-15 18:00:00+00:00,155.303,155.394,155.183,155.211,16093.0
2025-12-15 22:00:00+00:00,155.196,155.297,154.73,154.858,26944.0
2025-12-16 02:00:00+00:00,154.856,154.917,154.677,154.838,27245.0
2025-12-16 06:00:00+00:00,154.837,154.972,154.766,154.832,31418.0
2025-12-16 10:00:00+00:00,154.829,154.9,154.39,154.709,35681.0
2025-12-16 14:00:00+00:00,154.71,154.991,154.459,154.675,52042.0
2025-12-16 18:00:00+00:00,154.674,154.914,154.565,154.719,25198.0
2025-12-16 22:00:00+00:00,154.694,154.869,154.506,154.668,22910.0
2025-12-17 02:00:00+00:00,154.669,155.165,154.668,155.146,25265.0
2025-12-17 06:00:00+00:00,155.143,155.593,155.123,155.527,33577.0
2025-12-17 10:00:00+00:00,155.528,155.634,155.381,155.431,26818.0
2025-12-17 14:00:00+00:00,155.432,155.626,155.346,155.528,39884.0
2025-12-17 18:00:00+00:00,155.53,155.744,155.491,155.703,19249.0
2025-12-17 22:00:00+00:00,155.694,155.768,155.42,155.765,20200.0
2025-12-18 02:00:00+00:00,155.766,155.879,155.657,155.806,21959.0
2025-12-18 06:00:00+00:00,155.801,155.95,155.763,155.925,28158.0
2025-12-18 10:00:00+00:00,155.924,155.969,155.261,155.589,32649.0
2025-12-18 14:00:00+00:00,155.59,155.688,155.276,155.638,44667.0
2025-12-18 18:00:00+00:00,155.636,155.706,155.489,155.541,18703.0
2025-12-18 22:00:00+00:00,155.553,155.789,155.427,155.736,18345.0
2025-12-19 02:00:00+00:00,155.735,156.165,155.581,155.99,31782.0
2025-12-19 06:00:00+00:00,155.988,157.207,155.845,157.195,47161.0
2025-12-19 10:00:00+00:00,157.199,157.394,157.126,157.319,35521.0
2025-12-19 14:00:00+00:00,157.32,157.665,156.928,157.432,43758.0
2025-12-19 18:00:00+00:00,157.433,157.775,157.395,157.733,25260.0
2025-12-21 22:00:00+00:00,157.434,157.702,157.251,157.287,25606.0
2025-12-22 02:00:00+00:00,157.286,157.465,157.224,157.357,23290.0
2025-12-22 06:00:00+00:00,157.358,157.565,157.263,157.452,23958.0
2025-12-22 10:00:00+00:00,157.453,157.459,156.878,157.181,26747.0
2025-12-22 14:00:00+00:00,157.178,157.217,156.699,156.841,34893.0
2025-12-22 18:00:00+00:00,156.84,157.058,156.84,157.039,18559.0
2025-12-22 22:00:00+00:00,157.05,157.07,156.419,156.457,21635.0
2025-12-23 02:00:00+00:00,156.456,156.476,155.906,156.005,29389.0
2025-12-23 06:00:00+00:00,156.006,156.183,155.645,155.962,35876.0
2025-12-23 10:00:00+00:00,155.961,156.358,155.861,156.334,29279.0
2025-12-23 14:00:00+00:00,156.333,156.537,156.203,156.291,36559.0
2025-12-23 18:00:00+00:00,156.291,156.338,156.173,156.212,18401.0
2025-12-23 22:00:00+00:00,156.196,156.277,155.595,155.648,26919.0
2025-12-24 02:00:00+00:00,155.629,156.059,155.551,155.792,24297.0
2025-12-24 06:00:00+00:00,155.791,155.965,155.656,155.828,29078.0
2025-12-24 10:00:00+00:00,155.831,156.069,155.814,156.005,23414.0
2025-12-24 14:00:00+00:00,156.015,156.03,155.674,155.966,30728.0
2025-12-24 18:00:00+00:00,155.968,156.013,155.775,155.839,12493.0
2025-12-25 22:00:00+00:00,155.921,156.485,155.753,156.279,24001.0
2025-12-26 02:00:00+00:00,156.278,156.304,155.984,156.199,21936.0
2025-12-26 06:00:00+00:00,156.198,156.466,156.081,156.456,20924.0
2025-12-26 10:00:00+00:00,156.457,156.483,156.222,156.321,20713.0
2025-12-26 14:00:00+00:00,156.31,156.727,156.272,156.564,28379.0
2025-12-26 18:00:00+00:00,156.564,156.604,156.432,156.483,18418.0
2025-12-26 22:00:00+00:00,156.46,156.46,156.46,156.46,2.0
2025-12-28 22:00:00+00:00,156.419,156.552,156.052,156.306,26835.0
2025-12-29 02:00:00+00:00,156.307,156.507,156.236,156.301,22631.0
2025-12-29 06:00:00+00:00,156.304,156.394,156.046,156.321,29311.0
2025-12-29 10:00:00+00:00,156.321,156.418,156.189,156.225,25810.0
2025-12-29 14:00:00+00:00,156.226,156.292,155.912,156.179,35555.0
2025-12-29 18:00:00+00:00,156.18,156.245,155.979,156.041,15409.0
2025-12-29 22:00:00+00:00,156.05,156.321,155.919,156.216,20351.0
2025-12-30 02:00:00+00:00,156.211,156.334,156.007,156.037,22397.0
2025-12-30 06:00:00+00:00,156.036,156.103,155.85,155.918,26687.0
2025-12-30 10:00:00+00:00,155.917,156.207,155.737,156.191,24677.0
2025-12-30 14:00:00+00:00,156.192,156.561,156.119,156.329,29560.0
2025-12-30 18:00:00+00:00,156.33,156.518,156.303,156.404,15935.0
2025-12-30 22:00:00+00:00,156.327,156.461,156.312,156.426,12054.0
2025-12-31 02:00:00+00:00,156.427,156.631,156.418,156.588,13325.0
2025-12-31 06:00:00+00:00,156.589,156.648,156.499,156.626,18159.0
2025-12-31 10:00:00+00:00,156.615,156.83,156.547,156.806,19993.0
2025-12-31 14:00:00+00:00,156.808,156.989,156.639,156.821,35253.0
2025-12-31 18:00:00+00:00,156.82,156.916,156.611,156.636,19581.0
2026-01-01 22:00:00+00:00,156.627,156.883,156.513,156.631,12502.0
2026-01-02 02:00:00+00:00,156.63,156.94,156.588,156.908,12539.0
2026-01-02 06:00:00+00:00,156.909,156.991,156.764,156.91,25181.0
2026-01-02 10:00:00+00:00,156.909,156.995,156.797,156.9,21759.0
2026-01-02 14:00:00+00:00,156.902,156.913,156.555,156.765,33072.0
2026-01-02 18:00:00+00:00,156.766,156.951,156.759,156.786,20793.0
2026-01-02 22:00:00+00:00,156.83,156.83,156.83,156.83,2.0
2026-01-04 22:00:00+00:00,156.741,157.248,156.684,157.011,28103.0
2026-01-05 02:00:00+00:00,157.01,157.293,156.946,157.176,25720.0
2026-01-05 06:00:00+00:00,157.177,157.227,156.683,156.922,32001.0
2026-01-05 10:00:00+00:00,156.921,156.971,156.461,156.819,34035.0
2026-01-05 14:00:00+00:00,156.816,156.849,156.26,156.324,43238.0
2026-01-05 18:00:00+00:00,156.325,156.414,156.11,156.385,19204.0
2026-01-05 22:00:00+00:00,156.309,156.794,156.252,156.446,21067.0
2026-01-06 02:00:00+00:00,156.445,156.495,156.237,156.424,23254.0
2026-01-06 06:00:00+00:00,156.423,156.479,156.158,156.373,32770.0
2026-01-06 10:00:00+00:00,156.372,156.576,156.273,156.364,31674.0
2026-01-06 14:00:00+00:00,156.365,156.736,156.296,156.686,38485.0
2026-01-06 18:00:00+00:00,156.684,156.743,156.565,156.661,17630.0
2026-01-06 22:00:00+00:00,156.585,156.803,156.537,156.713,18447.0
2026-01-07 02:00:00+00:00,156.714,156.724,156.36,156.38,19496.0
2026-01-07 06:00:00+00:00,156.381,156.581,156.289,156.458,26186.0
2026-01-07 10:00:00+00:00,156.456,156.577,156.357,156.411,22666.0
2026-01-07 14:00:00+00:00,156.41,156.794,156.37,156.613,40071.0
2026-01-07 18:00:00+00:00,156.614,156.796,156.59,156.776,18052.0
2026-01-07 22:00:00+00:00,156.736,156.938,156.571,156.907,16828.0
