ts,open,high,low,close,volume
2026-02-24 12:00:00+00:00,1.17798,1.17826,1.17723,1.17807,5392.0
2026-02-24 13:00:00+00:00,1.17806,1.17808,1.17675,1.17717,6460.0
2026-02-24 14:00:00+00:00,1.17716,1.17781,1.17669,1.1773,7771.0
2026-02-24 15:00:00+00:00,1.17729,1.17805,1.17655,1.17722,8884.0
2026-02-24 16:00:00+00:00,1.17721,1.17898,1.17712,1.17875,6462.0
2026-02-24 17:00:00+00:00,1.17876,1.17883,1.17815,1.1785,3860.0
2026-02-24 18:00:00+00:00,1.17849,1.17862,1.17766,1.1778,3443.0
2026-02-24 19:00:00+00:00,1.17779,1.17836,1.17759,1.17783,3262.0
2026-02-24 20:00:00+00:00,1.17786,1.17829,1.17747,1.17749,3262.0
2026-02-24 21:00:00+00:00,1.17749,1.17765,1.17708,1.17713,1996.0
2026-02-24 22:00:00+00:00,1.17735,1.17757,1.1771,1.17728,355.0
2026-02-24 23:00:00+00:00,1.17717,1.17755,1.17695,1.17734,1144.0
2026-02-25 00:00:00+00:00,1.17735,1.17793,1.17728,1.17774,3380.0
2026-02-25 01:00:00+00:00,1.17779,1.17814,1.17754,1.17777,3757.0
2026-02-25 02:00:00+00:00,1.17778,1.17928,1.17775,1.17918,4767.0
2026-02-25 03:00:00+00:00,1.17921,1.17938,1.17853,1.1789,5326.0
2026-02-25 04:00:00+00:00,1.17888,1.17957,1.17872,1.17944,2766.0
2026-02-25 05:00:00+00:00,1.17943,1.18051,1.17938,1.18004,3314.0
2026-02-25 06:00:00+00:00,1.18004,1.18059,1.17966,1.18049,3643.0
2026-02-25 07:00:00+00:00,1.18047,1.18075,1.17965,1.17966,4840.0
2026-02-25 08:00:00+00:00,1.17967,1.17994,1.17892,1.17894,5133.0
2026-02-25 09:00:00+00:00,1.17894,1.17925,1.17851,1.17874,5649.0
2026-02-25 10:00:00+00:00,1.17873,1.17878,1.17787,1.17794,4475.0
2026-02-25 11:00:00+00:00,1.17793,1.17806,1.17705,1.17745,4346.0
2026-02-25 12:00:00+00:00,1.17744,1.17864,1.17735,1.17854,4677.0
2026-02-25 13:00:00+00:00,1.17857,1.17896,1.17724,1.17727,6316.0
2026-02-25 14:00:00+00:00,1.17725,1.17886,1.17725,1.17857,6895.0
2026-02-25 15:00:00+00:00,1.17858,1.18018,1.17843,1.18007,9420.0
2026-02-25 16:00:00+00:00,1.18006,1.18067,1.17981,1.18035,6313.0
2026-02-25 17:00:00+00:00,1.18035,1.18138,1.18021,1.1807,4966.0
2026-02-25 18:00:00+00:00,1.18069,1.18103,1.18036,1.18041,3149.0
2026-02-25 19:00:00+00:00,1.18042,1.18088,1.18023,1.1805,2763.0
2026-02-25 20:00:00+00:00,1.18049,1.18082,1.18042,1.18056,3298.0
2026-02-25 21:00:00+00:00,1.18054,1.18121,1.18028,1.18092,2330.0
2026-02-25 22:00:00+00:00,1.18019,1.18099,1.18005,1.18097,252.0
2026-02-25 23:00:00+00:00,1.18067,1.18158,1.18067,1.18146,2017.0
2026-02-26 00:00:00+00:00,1.18145,1.18187,1.18112,1.18185,3288.0
2026-02-26 01:00:00+00:00,1.18186,1.18284,1.18167,1.18268,5462.0
2026-02-26 02:00:00+00:00,1.18269,1.18284,1.18135,1.18169,3634.0
2026-02-26 03:00:00+00:00,1.1817,1.18216,1.18153,1.18165,3207.0
2026-02-26 04:00:00+00:00,1.18166,1.18181,1.18121,1.18177,2979.0
2026-02-26 05:00:00+00:00,1.18177,1.1822,1.18156,1.18192,3477.0
2026-02-26 06:00:00+00:00,1.18191,1.18216,1.18144,1.18183,3934.0
2026-02-26 07:00:00+00:00,1.18177,1.18179,1.18084,1.18152,4997.0
2026-02-26 08:00:00+00:00,1.18153,1.18153,1.18017,1.18021,5766.0
2026-02-26 09:00:00+00:00,1.1802,1.18054,1.17962,1.17967,5107.0
2026-02-26 10:00:00+00:00,1.17966,1.17993,1.17927,1.17979,3641.0
2026-02-26 11:00:00+00:00,1.17978,1.18044,1.17975,1.17998,3549.0
2026-02-26 12:00:00+00:00,1.17999,1.18092,1.17994,1.18085,3888.0
2026-02-26 13:00:00+00:00,1.18084,1.18163,1.18025,1.18063,6915.0
2026-02-26 14:00:00+00:00,1.18064,1.18153,1.18022,1.18123,8376.0
2026-02-26 15:00:00+00:00,1.18121,1.1814,1.17807,1.17984,12349.0
2026-02-26 16:00:00+00:00,1.17982,1.1799,1.17854,1.17914,7717.0
2026-02-26 17:00:00+00:00,1.17916,1.17929,1.17734,1.17756,6641.0
2026-02-26 18:00:00+00:00,1.17754,1.17868,1.17736,1.17838,6644.0
2026-02-26 19:00:00+00:00,1.17841,1.17975,1.17819,1.17962,4648.0
2026-02-26 20:00:00+00:00,1.17963,1.18027,1.17953,1.18008,3558.0
2026-02-26 21:00:00+00:00,1.1801,1.18032,1.17967,1.17967,2215.0
2026-02-26 22:00:00+00:00,1.17901,1.17969,1.17899,1.17968,340.0
2026-02-26 23:00:00+00:00,1.17953,1.18027,1.17925,1.18027,1890.0
2026-02-27 00:00:00+00:00,1.18025,1.18051,1.17955,1.17958,4930.0
2026-02-27 01:00:00+00:00,1.17959,1.18018,1.17882,1.17896,6193.0
2026-02-27 02:00:00+00:00,1.17899,1.18008,1.17899,1.18,3518.0
2026-02-27 03:00:00+00:00,1.17999,1.18053,1.17997,1.18031,2934.0
2026-02-27 04:00:00+00:00,1.18032,1.18127,1.18016,1.18107,2454.0
2026-02-27 05:00:00+00:00,1.18104,1.18115,1.18058,1.18079,2909.0
2026-02-27 06:00:00+00:00,1.18078,1.18104,1.18017,1.18038,4198.0
2026-02-27 07:00:00+00:00,1.18036,1.1819,1.17969,1.18143,5688.0
2026-02-27 08:00:00+00:00,1.18149,1.18213,1.18076,1.18092,5753.0
2026-02-27 09:00:00+00:00,1.18082,1.1811,1.17924,1.17948,5219.0
2026-02-27 10:00:00+00:00,1.17951,1.18032,1.17942,1.17984,3814.0
2026-02-27 11:00:00+00:00,1.17983,1.18034,1.17957,1.17997,3421.0
2026-02-27 12:00:00+00:00,1.17998,1.18075,1.17981,1.18019,4414.0
2026-02-27 13:00:00+00:00,1.1802,1.18061,1.179,1.1792,10149.0
2026-02-27 14:00:00+00:00,1.17922,1.18151,1.17904,1.17964,10107.0
2026-02-27 15:00:00+00:00,1.17963,1.18165,1.17957,1.18066,11237.0
2026-02-27 16:00:00+00:00,1.18067,1.18246,1.18051,1.18216,8838.0
2026-02-27 17:00:00+00:00,1.18217,1.18261,1.18151,1.18161,6512.0
2026-02-27 18:00:00+00:00,1.18162,1.18187,1.18106,1.18174,4976.0
2026-02-27 19:00:00+00:00,1.18173,1.18224,1.18159,1.18187,3690.0
2026-02-27 20:00:00+00:00,1.18188,1.18254,1.18146,1.18152,4447.0
2026-02-27 21:00:00+00:00,1.18156,1.18179,1.1807,1.18082,3669.0
2026-03-01 22:00:00+00:00,1.17663,1.17781,1.17497,1.17758,929.0
