exchange,symbol,tf,signal_i,bar_ts,signal_ts,session_utc,vol_bucket,ctx_240_regime,direction,entry_model,target_model,management_model,entry_ts,entry,stop,target,risk_price,confirmation_model,gross_r,cost_r,net_r,mfe_r,mae_r,hit_1r,hit_target,hit_stop,exit_reason,bars_to_entry,bars_to_exit,invalid,global_ema_state,global_ema_fast,global_ema_slow,middle_ema_state,middle_ema_fast,middle_ema_slow,local_ema_state,local_ema_fast,local_ema_slow,trend_alignment,exit_ts,pnl_pct,risk_per_trade_pct,open_trades_before,setup_name
binance,SOLUSDT,15,765,2026-05-21 07:30:00+00:00,2026-05-21 07:45:00+00:00,london,normal,bull,long,next_open,fixed_2r,be_after_half_target,2026-05-21 07:45:00+00:00,86.55,86.14,87.36999999999999,0.4099999999999966,none,0.0,0.1688780487804892,-0.1688780487804892,1.4878048780487916,-3.146341463414641,True,False,False,breakeven,1,8,False,mixed,85.71417614690934,87.42873279738026,bullish,86.03284656713083,85.57228152027322,bullish,86.50337596629792,86.2866630690637,middle_local_ema,2026-05-21 09:45:00+00:00,-0.00033775609756097843,0.002,0,london_long_middle_local_next_open
binance,DOGEUSDT,15,766,2026-05-21 07:45:00+00:00,2026-05-21 08:00:00+00:00,london,normal,bull,long,next_open,fixed_2r,be_after_half_target,2026-05-21 08:00:00+00:00,0.10559,0.10445,0.10787000000000001,0.0011400000000000021,none,-1.0,0.07369824561403496,-1.073698245614035,0.6666666666666626,-1.6052631578947323,False,False,True,stop,1,10,False,mixed,0.10523386046010551,0.10741627128547723,bullish,0.10460202770117352,0.10459307499084429,bullish,0.10523638285337802,0.10478119606777946,middle_local_ema,2026-05-21 10:30:00+00:00,-0.0021473964912280697,0.002,1,london_long_middle_local_next_open
binance,SUIUSDT,15,766,2026-05-21 07:45:00+00:00,2026-05-21 08:00:00+00:00,london,high,bull,long,next_open,fixed_2r,be_after_half_target,2026-05-21 08:00:00+00:00,1.1123,1.0976,1.1417000000000004,0.014700000000000157,none,0.0,0.060533333333332696,-0.060533333333332696,1.3945578231292342,-2.4013605442176686,True,False,False,breakeven,1,7,False,mixed,1.0770443219693158,1.089926761466933,bullish,1.0931206739823731,1.0757642412247292,bullish,1.1110891779923247,1.099883215277252,middle_local_ema,2026-05-21 09:45:00+00:00,-0.00012106666666666539,0.002,2,london_long_middle_local_next_open
binance,DOGEUSDT,15,879,2026-05-22 12:00:00+00:00,2026-05-22 12:15:00+00:00,london,normal,bull,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-05-22 12:15:00+00:00,0.10648,0.10481,0.10982000000000001,0.0016700000000000048,latest_bull_regime,-0.8203592814371294,0.05068023952095793,-0.8710395209580873,0.11976047904191094,-0.9461077844311422,False,False,False,expiry,1,24,False,mixed,0.1053824507195557,0.10697939813350127,bullish,0.10553449989841078,0.10514267090606791,bullish,0.10581796065188778,0.10566157312464793,middle_local_ema,2026-05-22 18:15:00+00:00,-0.0017420790419161746,0.002,0,london_long_middle_local_next_open
binance,LINKUSDT,15,879,2026-05-22 12:00:00+00:00,2026-05-22 12:15:00+00:00,london,normal,bull,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-05-22 12:15:00+00:00,9.921,9.746,10.270999999999997,0.17499999999999893,bos_up,-1.0,0.04495314285714313,-1.044953142857143,0.6285714285714393,-1.1771428571428615,False,False,True,stop,1,13,False,mixed,9.7051252626738,9.792562282854133,bullish,9.774479038254377,9.704333468260216,bullish,9.832619561141856,9.801290515859579,middle_local_ema,2026-05-22 15:30:00+00:00,-0.002089906285714286,0.002,1,london_long_middle_local_next_open
binance,SOLUSDT,15,879,2026-05-22 12:00:00+00:00,2026-05-22 12:15:00+00:00,london,normal,bull,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-05-22 12:15:00+00:00,87.58,86.45,89.83999999999999,1.1299999999999955,latest_bull_regime,-1.0,0.061603539823009104,-1.061603539823009,0.21238938053096978,-1.2123893805309824,False,False,True,stop,1,9,False,mixed,86.36376779127211,87.29196308949705,bullish,86.91119237699716,86.42070184495226,bullish,87.0726064755369,87.00688115943721,middle_local_ema,2026-05-22 14:30:00+00:00,-0.0021232070796460183,0.002,2,london_long_middle_local_next_open
binance,1000PEPEUSDT,15,476,2026-05-31 12:30:00+00:00,2026-05-31 12:45:00+00:00,london,normal,bull,long,next_open,fixed_2r,be_after_half_target,2026-05-31 12:45:00+00:00,0.0034432,0.0034085,0.0035126,3.469999999999992e-05,none,-1.0,0.07898213256484168,-1.0789821325648417,0.07204610951008368,-2.9855907780979933,False,False,True,stop,1,6,False,mixed,0.0034307143346190604,0.0034764440616250765,bullish,0.0034315291691907742,0.003426006869493432,bullish,0.0034340719958627424,0.0034332649606981886,middle_local_ema,2026-05-31 14:15:00+00:00,-0.0021579642651296835,0.002,0,london_long_middle_local_next_open
binance,SUIUSDT,15,2494,2026-06-08 07:45:00+00:00,2026-06-08 08:00:00+00:00,london,high,bull,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-08 08:00:00+00:00,0.7602,0.7281,0.8244,0.03210000000000002,choch_up,0.15576323987538945,0.01900809968847351,0.13675514018691595,0.25545171339563805,-0.44859813084112027,False,False,False,expiry,1,24,False,mixed,0.7470063230515359,0.8021374307164711,bullish,0.7465501732507177,0.741055773061946,bullish,0.7478452261920774,0.7476792164348532,middle_local_ema,2026-06-08 14:00:00+00:00,0.00027351028037383193,0.002,0,london_long_middle_local_next_open
binance,BNBUSDT,15,2508,2026-06-08 11:15:00+00:00,2026-06-08 11:30:00+00:00,london,high,bull,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-08 11:30:00+00:00,601.63,591.8,621.2900000000001,9.830000000000041,latest_bull_regime,0.36012207527975065,0.049106815869786165,0.3110152594099645,0.6663275686673374,-0.3763987792472055,False,False,False,expiry,1,24,False,mixed,595.5370894014744,618.8479160814173,bullish,596.5266629825144,592.6737855619436,bullish,598.4609605384879,597.9459888964354,middle_local_ema,2026-06-08 17:30:00+00:00,0.0006220305188199291,0.002,1,london_long_middle_local_next_open
binance,AAVEUSDT,15,2884,2026-06-12 09:15:00+00:00,2026-06-12 09:30:00+00:00,london,high,bull,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-12 09:30:00+00:00,64.94,63.02,68.77999999999999,1.9199999999999946,choch_up,0.11979166666666907,0.027106250000000075,0.09268541666666899,0.3072916666666693,-0.6979166666666667,False,False,False,expiry,1,24,False,mixed,63.296932687706516,66.11200431938659,bullish,63.874774215691026,63.28522739296645,bullish,64.06149339293844,64.02695634458355,middle_local_ema,2026-06-12 15:30:00+00:00,0.00018537083333333799,0.002,0,london_long_middle_local_next_open
binance,AAVEUSDT,15,2973,2026-06-13 07:30:00+00:00,2026-06-13 07:45:00+00:00,london,high,bull,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-13 07:45:00+00:00,66.05,64.52,69.11,1.5300000000000011,latest_bull_regime,0.607843137254906,0.03477908496732024,0.5730640522875858,0.7777777777777757,-0.052287581699345255,False,False,False,expiry,1,24,False,mixed,63.79754182694086,65.86083683233714,bullish,64.74921851987959,64.10803675898245,bullish,65.36539404044558,64.98681744539927,middle_local_ema,2026-06-13 13:45:00+00:00,0.0011461281045751716,0.002,0,london_long_middle_local_next_open
binance,ETHUSDT,15,2973,2026-06-13 07:30:00+00:00,2026-06-13 07:45:00+00:00,london,normal,bull,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-13 07:45:00+00:00,1672.52,1661.2,1695.1599999999999,11.319999999999936,choch_up,0.5547703180212021,0.11842120141342823,0.4363491166077739,0.9690812720848135,-0.04681978798586358,False,False,False,expiry,1,24,False,mixed,1660.1838765447,1699.6000925737537,bullish,1666.50672182129,1662.7183517419928,bullish,1667.1608014514313,1666.858935545114,middle_local_ema,2026-06-13 13:45:00+00:00,0.0008726982332155479,0.002,1,london_long_middle_local_next_open
binance,LINKUSDT,15,2973,2026-06-13 07:30:00+00:00,2026-06-13 07:45:00+00:00,london,normal,bull,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-13 07:45:00+00:00,7.946,7.851,8.136,0.09499999999999975,latest_bull_regime,0.46315789473684843,0.06709894736842123,0.39605894736842717,0.8736842105263201,-0.07368421052631254,False,False,False,expiry,1,24,False,mixed,7.827036917186403,7.947264028346186,bullish,7.874893446707436,7.846520105707749,bullish,7.899717825683732,7.884920590183939,middle_local_ema,2026-06-13 13:45:00+00:00,0.0007921178947368543,0.002,2,london_long_middle_local_next_open
binance,DOGEUSDT,15,2984,2026-06-13 10:15:00+00:00,2026-06-13 10:30:00+00:00,london,normal,bull,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-13 10:30:00+00:00,0.08735,0.08575,0.09054999999999998,0.0015999999999999903,latest_bull_regime,0.2625000000000039,0.04378000000000027,0.21872000000000363,0.9000000000000035,-0.12499999999999566,False,False,False,expiry,1,24,False,mixed,0.085900868833525,0.08709048810503046,bullish,0.08673072425359864,0.08627561023199054,bullish,0.08693082020286093,0.08679654486443665,middle_local_ema,2026-06-13 16:30:00+00:00,0.00043744000000000725,0.002,3,london_long_middle_local_next_open
binance,1000PEPEUSDT,15,1719,2026-06-13 11:15:00+00:00,2026-06-13 11:30:00+00:00,london,normal,bull,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-13 11:30:00+00:00,0.0028516,0.0027857,0.0029834000000000006,6.590000000000025e-05,choch_up,0.024279210925645417,0.034627010622154654,-0.010347799696509237,0.3459787556904373,-0.2321699544764818,False,False,False,expiry,1,24,False,mixed,0.0027932632069281975,0.0028586630574114905,bullish,0.0028169821905273686,0.0028006056812261396,bullish,0.0028309541641700735,0.0028227184656184874,middle_local_ema,2026-06-13 17:30:00+00:00,-2.0695599393018476e-05,0.002,4,london_long_middle_local_next_open
binance,BNBUSDT,15,2988,2026-06-13 11:15:00+00:00,2026-06-13 11:30:00+00:00,london,normal,bull,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-13 11:30:00+00:00,607.51,599.83,622.8699999999999,7.67999999999995,latest_bull_regime,0.19401041666666913,0.06335989583333375,0.1306505208333354,0.5195312500000046,-0.15885416666667126,False,False,False,expiry,1,24,False,mixed,600.4423669794218,605.9265667723532,bullish,603.787410449981,602.148037227319,bullish,604.4728219570966,604.0138272021679,middle_local_ema,2026-06-13 17:30:00+00:00,0.0002613010416666708,0.002,5,london_long_middle_local_next_open
binance,BTCUSDT,15,3071,2026-06-14 08:00:00+00:00,2026-06-14 08:15:00+00:00,london,normal,bull,long,next_open,fixed_2r,be_after_half_target,2026-06-14 08:15:00+00:00,64409.1,64186.5,64854.299999999996,222.59999999999854,none,0.0,0.2314792452830204,-0.2314792452830204,1.0399820305480751,-0.9065588499550626,True,False,False,breakeven,1,18,False,mixed,63636.95731653528,63978.50783201497,bullish,64236.07646529618,63841.867303962405,bullish,64353.372726907925,64318.56509676932,middle_local_ema,2026-06-14 12:45:00+00:00,-0.00046295849056604083,0.002,0,london_long_middle_local_next_open
