ts,open,high,low,close,volume
2026-01-06 13:00:00+00:00,4463.61,4470.45,4457.26,4459.13,14594.0
2026-01-06 13:30:00+00:00,4459.26,4468.1,4454.2,4467.95,13848.0
2026-01-06 14:00:00+00:00,4468.07,4473.4,4464.46,4466.68,13163.0
2026-01-06 14:30:00+00:00,4466.72,4489.65,4465.14,4487.45,15806.0
2026-01-06 15:00:00+00:00,4487.16,4490.86,4473.72,4480.98,15935.0
2026-01-06 15:30:00+00:00,4481.02,4482.02,4463.18,4478.38,15455.0
2026-01-06 16:00:00+00:00,4478.37,4485.04,4471.59,4483.65,13705.0
2026-01-06 16:30:00+00:00,4483.63,4488.89,4482.46,4488.25,12483.0
2026-01-06 17:00:00+00:00,4488.65,4490.22,4484.37,4487.06,11263.0
2026-01-06 17:30:00+00:00,4487.05,4491.6,4481.89,4489.5,11098.0
2026-01-06 18:00:00+00:00,4489.24,4494.05,4484.31,4485.94,11721.0
2026-01-06 18:30:00+00:00,4487.03,4490.21,4482.19,4488.48,10239.0
2026-01-06 19:00:00+00:00,4488.51,4489.47,4477.47,4480.89,10973.0
2026-01-06 19:30:00+00:00,4480.9,4483.77,4477.78,4481.32,10113.0
2026-01-06 20:00:00+00:00,4481.3,4487.63,4480.28,4485.55,8681.0
2026-01-06 20:30:00+00:00,4485.63,4496.86,4483.79,4493.87,9829.0
2026-01-06 21:00:00+00:00,4494.13,4494.58,4491.81,4494.05,4989.0
2026-01-06 21:30:00+00:00,4494.06,4497.4,4493.92,4494.95,4133.0
2026-01-06 23:00:00+00:00,4495.02,4500.49,4494.73,4498.62,5986.0
2026-01-06 23:30:00+00:00,4498.55,4499.6,4492.05,4493.29,6558.0
2026-01-07 00:00:00+00:00,4493.25,4494.2,4489.63,4491.06,6630.0
2026-01-07 00:30:00+00:00,4491.49,4494.89,4482.39,4491.64,9506.0
2026-01-07 01:00:00+00:00,4491.58,4496.0,4468.98,4477.05,15157.0
2026-01-07 01:30:00+00:00,4477.15,4477.83,4461.15,4465.59,13744.0
2026-01-07 02:00:00+00:00,4465.58,4475.51,4459.56,4473.91,11544.0
2026-01-07 02:30:00+00:00,4473.59,4478.71,4473.48,4474.62,11260.0
2026-01-07 03:00:00+00:00,4474.64,4480.25,4471.83,4476.4,11455.0
2026-01-07 03:30:00+00:00,4476.42,4478.81,4473.53,4474.76,8571.0
2026-01-07 04:00:00+00:00,4474.67,4476.01,4465.87,4466.05,8815.0
2026-01-07 04:30:00+00:00,4465.99,4468.48,4463.41,4464.78,7963.0
2026-01-07 05:00:00+00:00,4464.79,4470.32,4462.03,4468.51,7854.0
2026-01-07 05:30:00+00:00,4468.62,4469.15,4443.13,4454.23,14942.0
2026-01-07 06:00:00+00:00,4454.13,4460.45,4452.13,4454.99,11092.0
2026-01-07 06:30:00+00:00,4454.98,4455.68,4441.35,4444.26,12388.0
2026-01-07 07:00:00+00:00,4444.25,4454.96,4441.82,4454.94,9503.0
2026-01-07 07:30:00+00:00,4454.95,4464.83,4453.69,4461.18,8800.0
2026-01-07 08:00:00+00:00,4460.86,4468.63,4459.33,4465.27,9204.0
2026-01-07 08:30:00+00:00,4465.24,4474.77,4464.17,4468.28,9445.0
2026-01-07 09:00:00+00:00,4468.23,4468.56,4459.55,4462.26,10179.0
2026-01-07 09:30:00+00:00,4461.54,4465.6,4460.06,4463.33,8950.0
2026-01-07 10:00:00+00:00,4462.98,4466.69,4458.81,4459.83,9010.0
2026-01-07 10:30:00+00:00,4459.8,4467.76,4458.84,4464.49,8484.0
2026-01-07 11:00:00+00:00,4464.48,4464.9,4455.39,4459.02,7807.0
2026-01-07 11:30:00+00:00,4459.05,4460.13,4446.56,4447.43,9792.0
2026-01-07 12:00:00+00:00,4447.44,4450.38,4439.37,4450.11,11829.0
2026-01-07 12:30:00+00:00,4449.92,4455.02,4445.01,4445.06,10293.0
2026-01-07 13:00:00+00:00,4445.04,4449.85,4427.83,4442.14,15595.0
2026-01-07 13:30:00+00:00,4441.9,4453.2,4438.22,4452.99,14935.0
2026-01-07 14:00:00+00:00,4452.57,4454.09,4442.74,4444.68,14438.0
2026-01-07 14:30:00+00:00,4443.61,4452.95,4435.77,4445.53,16315.0
2026-01-07 15:00:00+00:00,4443.91,4444.59,4423.44,4442.02,16394.0
2026-01-07 15:30:00+00:00,4442.24,4452.19,4440.54,4445.91,15147.0
2026-01-07 16:00:00+00:00,4445.96,4461.09,4443.71,4457.91,13978.0
2026-01-07 16:30:00+00:00,4457.89,4468.33,4456.85,4464.19,12880.0
2026-01-07 17:00:00+00:00,4464.25,4465.38,4457.25,4458.49,9509.0
2026-01-07 17:30:00+00:00,4458.49,4461.48,4449.79,4451.84,10679.0
2026-01-07 18:00:00+00:00,4451.43,4455.89,4447.3,4452.22,12580.0
2026-01-07 18:30:00+00:00,4452.52,4458.71,4450.35,4452.03,9797.0
2026-01-07 19:00:00+00:00,4452.04,4455.31,4445.35,4450.48,10532.0
2026-01-07 19:30:00+00:00,4450.4,4457.97,4450.4,4456.87,9276.0
2026-01-07 20:00:00+00:00,4456.95,4461.68,4455.43,4458.11,10059.0
2026-01-07 20:30:00+00:00,4458.12,4460.33,4450.61,4451.73,10281.0
2026-01-07 21:00:00+00:00,4451.04,4455.13,4449.79,4452.42,4687.0
2026-01-07 21:30:00+00:00,4452.41,4456.61,4452.17,4456.34,3317.0
2026-01-07 23:00:00+00:00,4458.55,4464.0,4457.49,4461.93,4947.0
2026-01-07 23:30:00+00:00,4461.92,4463.79,4459.89,4463.46,4681.0
2026-01-08 00:00:00+00:00,4463.47,4466.36,4454.13,4456.83,6517.0
2026-01-08 00:30:00+00:00,4456.89,4458.93,4446.66,4450.2,10965.0
2026-01-08 01:00:00+00:00,4449.93,4460.35,4444.74,4455.21,13420.0
2026-01-08 01:30:00+00:00,4455.01,4457.49,4441.72,4448.39,12791.0
2026-01-08 02:00:00+00:00,4448.37,4449.62,4440.32,4441.23,11027.0
2026-01-08 02:30:00+00:00,4440.89,4444.12,4433.33,4441.39,13735.0
2026-01-08 03:00:00+00:00,4441.42,4445.79,4437.12,4444.21,13200.0
2026-01-08 03:30:00+00:00,4444.23,4446.48,4438.19,4440.24,8390.0
2026-01-08 04:00:00+00:00,4440.29,4440.44,4436.63,4436.77,7251.0
2026-01-08 04:30:00+00:00,4436.8,4438.86,4430.21,4431.52,8284.0
2026-01-08 05:00:00+00:00,4431.62,4432.39,4422.82,4426.01,10593.0
2026-01-08 05:30:00+00:00,4425.86,4427.83,4415.69,4425.45,15226.0
2026-01-08 06:00:00+00:00,4425.44,4429.25,4415.81,4426.17,14121.0
2026-01-08 06:30:00+00:00,4426.19,4437.58,4426.19,4433.42,13283.0
2026-01-08 07:00:00+00:00,4433.56,4439.65,4430.87,4436.5,10130.0
2026-01-08 07:30:00+00:00,4436.3,4436.7,4428.46,4430.9,9324.0
2026-01-08 08:00:00+00:00,4430.89,4433.39,4425.41,4427.05,10915.0
2026-01-08 08:30:00+00:00,4427.02,4432.9,4419.89,4431.68,11920.0
2026-01-08 09:00:00+00:00,4431.52,4435.76,4426.07,4430.22,10634.0
2026-01-08 09:30:00+00:00,4430.25,4434.96,4429.2,4432.61,8986.0
2026-01-08 10:00:00+00:00,4432.62,4432.7,4423.17,4424.45,10025.0
2026-01-08 10:30:00+00:00,4424.42,4434.97,4423.68,4433.33,8432.0
2026-01-08 11:00:00+00:00,4433.33,4433.33,4424.67,4426.49,9387.0
2026-01-08 11:30:00+00:00,4426.47,4428.06,4422.06,4422.79,9360.0
2026-01-08 12:00:00+00:00,4422.77,4422.89,4407.77,4420.4,13138.0
2026-01-08 12:30:00+00:00,4420.42,4431.34,4420.18,4427.72,11713.0
2026-01-08 13:00:00+00:00,4427.66,4436.31,4417.17,4433.96,14730.0
2026-01-08 13:30:00+00:00,4434.22,4435.87,4421.83,4423.82,14140.0
2026-01-08 14:00:00+00:00,4423.81,4430.13,4418.92,4427.72,14673.0
2026-01-08 14:30:00+00:00,4427.92,4439.09,4421.86,4432.95,17214.0
2026-01-08 15:00:00+00:00,4432.38,4454.02,4427.76,4447.7,16419.0
2026-01-08 15:30:00+00:00,4447.64,4456.1,4446.75,4454.05,15123.0
2026-01-08 16:00:00+00:00,4454.14,4457.9,4446.94,4453.71,14842.0
2026-01-08 16:30:00+00:00,4453.67,4464.42,4451.78,4463.14,13467.0
2026-01-08 17:00:00+00:00,4463.01,4465.57,4457.58,4461.57,11860.0
2026-01-08 17:30:00+00:00,4461.71,4463.91,4458.96,4463.42,9619.0
2026-01-08 18:00:00+00:00,4462.98,4462.98,4449.35,4451.95,12764.0
2026-01-08 18:30:00+00:00,4451.89,4455.33,4447.88,4449.59,10224.0
2026-01-08 19:00:00+00:00,4449.56,4451.32,4444.76,4447.68,10260.0
2026-01-08 19:30:00+00:00,4447.72,4452.85,4447.57,4452.04,8453.0
2026-01-08 20:00:00+00:00,4452.01,4473.69,4451.4,4470.09,10673.0
2026-01-08 20:30:00+00:00,4470.98,4478.13,4470.98,4476.08,12430.0
2026-01-08 21:00:00+00:00,4476.24,4479.53,4472.65,4475.11,5940.0
2026-01-08 21:30:00+00:00,4475.12,4478.67,4472.8,4478.12,4915.0
2026-01-08 23:00:00+00:00,4479.6,4484.35,4475.19,4477.12,6296.0
2026-01-08 23:30:00+00:00,4477.2,4477.44,4472.87,4475.63,5887.0
2026-01-09 00:00:00+00:00,4475.68,4476.78,4463.52,4465.76,7053.0
2026-01-09 00:30:00+00:00,4465.75,4468.58,4460.01,4461.39,8170.0
2026-01-09 01:00:00+00:00,4462.75,4465.35,4452.61,4457.2,13704.0
2026-01-09 01:30:00+00:00,4457.25,4470.01,4456.08,4468.91,12146.0
2026-01-09 02:00:00+00:00,4468.85,4476.57,4468.85,4472.37,9624.0
2026-01-09 02:30:00+00:00,4472.26,4475.36,4465.73,4469.45,10824.0
2026-01-09 03:00:00+00:00,4469.48,4470.03,4461.06,4463.43,11518.0
2026-01-09 03:30:00+00:00,4463.39,4465.75,4460.41,4464.14,6376.0
2026-01-09 04:00:00+00:00,4464.16,4465.73,4460.73,4462.77,6040.0
2026-01-09 04:30:00+00:00,4462.69,4466.89,4461.57,4464.75,5205.0
2026-01-09 05:00:00+00:00,4464.52,4466.81,4458.29,4464.58,6693.0
2026-01-09 05:30:00+00:00,4465.05,4471.71,4464.48,4468.16,10838.0
2026-01-09 06:00:00+00:00,4468.29,4473.45,4465.9,4473.38,10742.0
2026-01-09 06:30:00+00:00,4473.36,4477.39,4472.77,4474.22,9818.0
2026-01-09 07:00:00+00:00,4474.21,4475.43,4468.67,4470.31,6933.0
