ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,mfe_r,mae_r,exit_reason,review_bucket,entry_model,target_model,management_model,bars_to_entry,confirmation_model,notes_hint
2026-06-15 10:30:00+00:00,AAVEUSDT,binance,15,crypto_london_frequency_audit,london,long,73.41,68.73,82.76999999999998,4.679999999999993,0.6688025641025647,False,0.9166666666666694,-0.10470085470085377,expiry,current_london_winner,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,Current-filter winner: identify causal price action that should generalize.
2026-05-31 08:30:00+00:00,AAVEUSDT,binance,15,crypto_london_frequency_audit,london,long,82.95,82.66,83.53000000000002,0.29000000000000625,-1.2284275862068916,False,0.9310344827585869,-5.724137931034347,stop,hindsight_near_miss_loser,structure_confirmed_fvg_edge_retest,fixed_2r,be_after_half_target,1,latest_bull_regime,HINDSIGHT near-miss: judge visually only. Do not train from this as a winner unless a causal filter is identified.
2026-05-31 08:30:00+00:00,AAVEUSDT,binance,15,crypto_london_frequency_audit,london,long,82.95,82.66,83.53000000000002,0.29000000000000625,-1.2284275862068916,False,0.9310344827585869,-5.724137931034347,stop,hindsight_near_miss_loser,fvg_edge_retest,fixed_2r,be_after_half_target,1,none,HINDSIGHT near-miss: judge visually only. Do not train from this as a winner unless a causal filter is identified.
2026-05-31 08:30:00+00:00,AAVEUSDT,binance,15,crypto_london_frequency_audit,london,long,82.955,82.66,83.545,0.2950000000000017,-1.2245627118644056,False,0.8983050847457594,-5.64406779661011,stop,hindsight_near_miss_loser,fvg_ce_retest,fixed_2r,be_after_half_target,1,none,HINDSIGHT near-miss: judge visually only. Do not train from this as a winner unless a causal filter is identified.
2026-06-26 12:15:00+00:00,AAVEUSDT,binance,15,crypto_london_frequency_audit,london,long,87.21,83.05,95.52999999999999,4.159999999999997,1.9870216346153846,True,2.637019230769236,-0.4062499999999998,target,hindsight_near_miss_winner,next_open,fixed_2r,be_after_half_target,1,none,HINDSIGHT near-miss: judge visually only. Do not train from this as a winner unless a causal filter is identified.
2026-06-26 12:30:00+00:00,AAVEUSDT,binance,15,crypto_london_frequency_audit,london,long,87.67,83.07,96.87000000000002,4.6000000000000085,1.9881647826086957,True,2.284782608695649,-0.46739130434782644,target,hindsight_near_miss_winner,next_open,fixed_2r,be_after_half_target,1,none,HINDSIGHT near-miss: judge visually only. Do not train from this as a winner unless a causal filter is identified.
2026-06-26 12:30:00+00:00,AAVEUSDT,binance,15,crypto_london_frequency_audit,london,long,87.67,83.07,96.87000000000002,4.6000000000000085,1.9881647826086957,True,2.284782608695649,-0.46739130434782644,target,hindsight_near_miss_winner,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,HINDSIGHT near-miss: judge visually only. Do not train from this as a winner unless a causal filter is identified.
2026-06-16 08:45:00+00:00,AVAXUSDT,binance,15,crypto_london_frequency_audit,london,long,6.987,6.737,7.487,0.25,-1.0219584,False,0.23999999999999844,-1.120000000000001,stop,current_london_loser,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,"Current-filter loser: inspect direction, consolidation, candle confirmation, and whether entry came after exhaustion."
2026-06-16 09:15:00+00:00,AVAXUSDT,binance,15,crypto_london_frequency_audit,london,long,7.007,6.752,7.5169999999999995,0.2549999999999999,-1.0215827450980393,False,0.003921568627452292,-1.176470588235294,stop,current_london_loser,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,"Current-filter loser: inspect direction, consolidation, candle confirmation, and whether entry came after exhaustion."
2026-07-10 08:30:00+00:00,AVAXUSDT,binance,15,crypto_london_frequency_audit,london,long,6.791,6.731,6.911000000000001,0.0600000000000005,-1.090146666666666,False,0.04999999999998668,-1.7499999999999927,stop,current_london_loser,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,"Current-filter loser: inspect direction, consolidation, candle confirmation, and whether entry came after exhaustion."
2026-06-15 11:15:00+00:00,AVAXUSDT,binance,15,crypto_london_frequency_audit,london,long,6.865,6.731,7.133000000000001,0.13400000000000034,0.9884537313432802,False,1.5746268656716333,-0.02985074626865998,expiry,current_london_winner,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,Current-filter winner: identify causal price action that should generalize.
2026-06-15 11:45:00+00:00,AVAXUSDT,binance,15,crypto_london_frequency_audit,london,long,6.885,6.735,7.184999999999999,0.14999999999999947,0.8362640000000044,False,1.2733333333333368,-0.09333333333332931,expiry,current_london_winner,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,Current-filter winner: identify causal price action that should generalize.
2026-06-22 07:30:00+00:00,AVAXUSDT,binance,15,crypto_london_frequency_audit,london,long,6.285,6.192,6.471,0.09299999999999997,0.8058064516129042,False,1.4731182795698883,-0.7419354838709674,expiry,current_london_winner,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,Current-filter winner: identify causal price action that should generalize.
2026-06-18 13:30:00+00:00,AVAXUSDT,binance,15,crypto_london_frequency_audit,london,long,6.624,6.601,6.669999999999999,0.022999999999999687,-1.230000000000003,False,2.0869565217391606,-18.173913043478475,stop,hindsight_near_miss_loser,fvg_edge_retest,fixed_2r,be_after_half_target,4,none,HINDSIGHT near-miss: judge visually only. Do not train from this as a winner unless a causal filter is identified.
2026-07-06 11:45:00+00:00,AVAXUSDT,binance,15,crypto_london_frequency_audit,london,long,6.833,6.814,6.871,0.019000000000000128,-1.2873052631578927,False,8.210526315789402,-6.6842105263157325,stop,hindsight_near_miss_loser,fvg_edge_retest,fixed_2r,be_after_half_target,6,none,HINDSIGHT near-miss: judge visually only. Do not train from this as a winner unless a causal filter is identified.
2026-07-06 11:45:00+00:00,AVAXUSDT,binance,15,crypto_london_frequency_audit,london,long,6.8335,6.814,6.8725,0.01949999999999985,-1.2799487179487201,False,7.974358974359034,-6.538461538461563,stop,hindsight_near_miss_loser,fvg_ce_retest,fixed_2r,be_after_half_target,6,none,HINDSIGHT near-miss: judge visually only. Do not train from this as a winner unless a causal filter is identified.
2026-06-19 08:45:00+00:00,AVAXUSDT,binance,15,crypto_london_frequency_audit,london,long,6.038,5.964,6.186,0.07399999999999984,1.9506432432432432,True,2.05405405405406,-0.4729729729729759,target,hindsight_near_miss_winner,next_open,fixed_2r,be_after_half_target,1,none,HINDSIGHT near-miss: judge visually only. Do not train from this as a winner unless a causal filter is identified.
2026-06-22 08:00:00+00:00,AVAXUSDT,binance,15,crypto_london_frequency_audit,london,long,6.2675,6.192,6.4185,0.0754999999999999,1.9497920529801325,True,2.65562913907285,-0.6821192052980125,target,hindsight_near_miss_winner,structure_confirmed_fvg_ce_retest,fixed_2r,be_after_half_target,3,latest_bull_regime,HINDSIGHT near-miss: judge visually only. Do not train from this as a winner unless a causal filter is identified.
2026-06-22 08:00:00+00:00,AVAXUSDT,binance,15,crypto_london_frequency_audit,london,long,6.2675,6.192,6.4185,0.0754999999999999,1.9497920529801325,True,2.65562913907285,-0.6821192052980125,target,hindsight_near_miss_winner,fvg_ce_retest,fixed_2r,be_after_half_target,3,none,HINDSIGHT near-miss: judge visually only. Do not train from this as a winner unless a causal filter is identified.
2026-07-10 08:30:00+00:00,DOGEUSDT,binance,15,crypto_london_frequency_audit,london,long,0.07431,0.07367,0.07559,0.0006400000000000017,-1.0924874999999998,False,0.5468750000000034,-1.0781249999999911,stop,current_london_loser,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,"Current-filter loser: inspect direction, consolidation, candle confirmation, and whether entry came after exhaustion."
2026-07-10 08:45:00+00:00,DOGEUSDT,binance,15,crypto_london_frequency_audit,london,long,0.07429,0.07367,0.07552999999999999,0.0006199999999999956,-1.0954580645161296,False,0.5967741935484062,-1.6129032258064646,stop,current_london_loser,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,"Current-filter loser: inspect direction, consolidation, candle confirmation, and whether entry came after exhaustion."
2026-07-10 10:00:00+00:00,DOGEUSDT,binance,15,crypto_london_frequency_audit,london,long,0.07435,0.07367,0.07571,0.00068,-1.087070588235294,False,0.4558823529411834,-1.5588235294117725,stop,current_london_loser,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,"Current-filter loser: inspect direction, consolidation, candle confirmation, and whether entry came after exhaustion."
2026-06-12 08:45:00+00:00,DOGEUSDT,binance,15,crypto_london_frequency_audit,london,long,0.08638,0.08472,0.08969999999999999,0.0016599999999999948,1.968378313253012,True,3.6626506024096512,-0.05421686746987539,target,current_london_winner,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,Current-filter winner: identify causal price action that should generalize.
