ts,exit_ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,planned_rr,duration_min,return_pct,mfe_r,mae_r,exit_reason,review_bucket,setup,trend_strength,consolidation_state,shock_alignment,compression_state,base_net_r,stress_net_r,notes_hint
2026-02-02 07:45:00+00:00,2026-02-02 08:15:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,2228.93,2248.27,2157.14,19.340000000000146,-1.2304994829369167,False,3.7119958634953165,30.0,-0.24609989658738335,0.0,-1.438986556359885,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.069149844881075,-1.2304994829369167,Full accepted trade. setup=context_change; session=london; context=trend/directional/no_shock; stressR=-1.23.
2026-02-03 08:45:00+00:00,2026-02-03 09:00:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,2315.77,2328.49,2290.3300000000004,12.7199999999998,1.6358852201257803,True,2.0,15.0,0.32717704402515607,2.6721698113207797,-0.24606918238994957,target,accepted_trade,context_change,transition,transition,no_shock,normal,1.890765566037734,1.6358852201257803,Full accepted trade. setup=context_change; session=london; context=transition/transition/no_shock; stressR=1.64.
2026-02-03 14:30:00+00:00,2026-02-03 15:15:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,2282.94,2299.94,2248.94,17.0,-1.268581176470588,False,2.0,45.0,-0.25371623529411763,1.8235294117647058,-1.5829411764705796,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.0805743529411764,-1.268581176470588,Full accepted trade. setup=context_change; session=ny; context=strong_trend/directional/no_shock; stressR=-1.27.
2026-02-05 01:45:00+00:00,2026-02-05 02:15:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2148.55,2164.15,2117.3500000000004,15.599999999999909,1.7245448717948701,True,2.0,30.0,0.34490897435897405,2.2583333333333475,-0.31346153846153213,target,accepted_trade,context_change,weak_or_range,range,no_shock,normal,1.9173634615384612,1.7245448717948701,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=1.72.
2026-02-05 02:45:00+00:00,2026-02-05 12:45:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2124.31,2164.15,2044.6299999999997,39.840000000000146,1.893357931726908,True,2.0,600.0,0.3786715863453816,2.036897590361435,-0.6385542168674689,target,accepted_trade,context_change,weak_or_range,range,no_shock,normal,1.9680073795180724,1.893357931726908,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=1.89.
2026-02-05 14:45:00+00:00,2026-02-05 15:15:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,2046.6,2080.76,1978.2799999999993,34.16000000000031,1.880175644028104,True,2.0,30.0,0.3760351288056208,3.343969555035099,-0.22131147540983245,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,1.9640526932084312,1.880175644028104,Full accepted trade. setup=context_change; session=ny; context=strong_trend/directional/no_shock; stressR=1.88.
2026-02-10 06:00:00+00:00,2026-02-10 06:45:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2051.55,2074.35,2005.9500000000007,22.799999999999727,1.8200394736842083,True,2.0,45.0,0.36400789473684164,2.3666666666667067,-0.1074561403508705,target,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,1.9460118421052626,1.8200394736842083,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=1.82.
2026-02-11 06:00:00+00:00,2026-02-11 14:00:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,1953.25,1981.4,1896.9499999999998,28.15000000000009,-1.138774422735346,False,2.0,480.0,-0.22775488454706921,0.7541740674955577,-2.222380106571927,stop,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,-1.0416323268206038,-1.138774422735346,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-1.14.
2026-02-17 09:00:00+00:00,2026-02-17 13:15:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,1971.84,1985.07,1945.3799999999999,13.230000000000018,-1.2980861678004532,False,2.0,255.0,-0.25961723356009064,0.7656840513983271,-1.3696145124716623,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.089425850340136,-1.2980861678004532,Full accepted trade. setup=context_change; session=london; context=trend/directional/no_shock; stressR=-1.30.
2026-02-24 14:00:00+00:00,2026-02-24 14:30:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,1815.09,1829.68,1785.9099999999996,14.590000000000146,-1.2488128855380372,False,2.0,30.0,-0.24976257710760744,0.7957505140507048,-1.0918437285812135,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.0746438656614112,-1.2488128855380372,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-1.25.
