ts,exit_ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,planned_rr,duration_min,return_pct,mfe_r,mae_r,exit_reason,review_bucket,setup,trend_strength,consolidation_state,shock_alignment,compression_state,base_net_r,stress_net_r,notes_hint
2025-09-26 04:30:00+00:00,2025-09-26 05:15:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,195.42,197.09,192.07999999999996,1.670000000000016,-1.2340359281437103,False,2.0,45.0,-0.24680718562874207,0.02395209580837824,-1.077844311377242,stop,accepted_trade,context_change,weak_or_range,range,no_shock,normal,-1.0702107784431132,-1.2340359281437103,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=-1.23.
2025-09-26 09:30:00+00:00,2025-09-26 12:30:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,194.0,197.09,187.82,3.0900000000000034,-1.125566343042071,False,2.0,180.0,-0.2251132686084142,1.0032362459546895,-1.2524271844660195,stop,accepted_trade,context_change,transition,range_to_trend_transition,no_shock,normal,-1.0376699029126213,-1.125566343042071,Full accepted trade. setup=context_change; session=london; context=transition/range_to_trend_transition/no_shock; stressR=-1.13.
2025-10-02 00:00:00+00:00,2025-10-02 12:45:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,221.92,219.4,226.95999999999995,2.519999999999982,1.8238730158730145,True,2.0,765.0,0.3647746031746029,2.0158730158730354,-0.9047619047619118,target,accepted_trade,context_change,weak_or_range,volatile_range,no_shock,expanded,1.9471619047619044,1.8238730158730145,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/volatile_range/no_shock; stressR=1.82.
2025-10-11 13:30:00+00:00,2025-10-11 19:30:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,182.7,185.04,178.01999999999998,2.3400000000000034,1.8438461538461541,True,2.0,360.0,0.36876923076923085,2.1153846153846074,-0.8760683760683796,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.9531538461538462,1.8438461538461541,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=1.84.
2025-10-12 00:00:00+00:00,2025-10-12 00:45:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,176.34,177.36,174.29999999999998,1.0200000000000102,1.6542352941176506,True,2.0,45.0,0.3308470588235301,3.2647058823529207,-0.07843137254900322,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,1.8962705882352953,1.6542352941176506,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=1.65.
2025-10-30 16:00:00+00:00,2025-10-30 17:15:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,185.94,187.67,182.48000000000002,1.7299999999999898,-1.2149595375722555,False,2.0,75.0,-0.24299190751445107,1.7052023121387319,-2.34682080924857,stop,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,-1.0644878612716766,-1.2149595375722555,Full accepted trade. setup=context_change; session=ny; context=strong_trend/directional/no_shock; stressR=-1.21.
2025-11-01 06:30:00+00:00,2025-11-01 09:00:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,185.17,186.61,182.28999999999994,1.4400000000000261,-1.2571805555555509,False,2.0,150.0,-0.2514361111111102,0.0,-1.097222222222211,stop,accepted_trade,context_change,weak_or_range,range,no_shock,normal,-1.0771541666666653,-1.2571805555555509,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=-1.26.
2025-11-01 10:00:00+00:00,2025-11-01 11:00:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,185.54,186.61,183.39999999999995,1.0700000000000216,-1.34680373831775,False,2.0,60.0,-0.26936074766355,0.22429906542053815,-1.0747663551401705,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.104041121495325,-1.34680373831775,Full accepted trade. setup=context_change; session=london; context=trend/directional/no_shock; stressR=-1.35.
2025-11-02 16:00:00+00:00,2025-11-02 21:15:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,182.93,185.25,178.29000000000002,2.319999999999993,-1.1576982758620695,False,2.0,315.0,-0.2315396551724139,0.306034482758625,-1.0862068965517195,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.047309482758621,-1.1576982758620695,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-1.16.
2025-11-03 06:00:00+00:00,2025-11-04 05:30:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,176.18,184.52,159.5,8.340000000000003,1.9577505995203837,True,2.0,1410.0,0.39155011990407673,2.056354916067146,-0.09832134292565861,target,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,1.9873251798561151,1.9577505995203837,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=1.96.
