ts,exit_ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,planned_rr,duration_min,return_pct,mfe_r,mae_r,exit_reason,review_bucket,setup,trend_strength,consolidation_state,shock_alignment,compression_state,base_net_r,stress_net_r,notes_hint
2026-01-02 16:00:00+00:00,2026-01-03 16:00:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,0.135,0.1297,0.1456,0.005299999999999999,-0.050943396226415104,False,2.0,1440.0,-0.01018867924528302,1.8490566037735858,-0.0,expiry,accepted_trade,context_change,trend,directional,no_shock,expanded,-0.015283018867924532,-0.050943396226415104,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-0.05.
2026-01-04 00:00:00+00:00,2026-01-04 03:15:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,0.1446,0.14242,0.14896000000000004,0.0021800000000000153,1.8673394495412854,True,2.0,195.0,0.3734678899082571,2.110091743119248,-0.2293577981651362,target,accepted_trade,context_change,transition,transition,no_shock,normal,1.9602018348623855,1.8673394495412854,Full accepted trade. setup=context_change; session=asia; context=transition/transition/no_shock; stressR=1.87.
2026-01-06 03:30:00+00:00,2026-01-06 05:30:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,0.1528,0.15119,0.15602,0.0016100000000000003,-1.1898136645962731,False,2.0,120.0,-0.23796273291925465,0.06211180124224641,-1.1614906832298026,stop,accepted_trade,context_change,weak_or_range,range,no_shock,normal,-1.056944099378882,-1.1898136645962731,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=-1.19.
2026-01-06 13:15:00+00:00,2026-01-06 14:15:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,0.152,0.15018,0.15563999999999997,0.0018199999999999883,1.8329670329670318,True,2.0,60.0,0.3665934065934064,2.4175824175824414,-0.3571428571428506,target,accepted_trade,context_change,weak_or_range,volatile_range,no_shock,expanded,1.9498901098901096,1.8329670329670318,Full accepted trade. setup=context_change; session=ny; context=weak_or_range/volatile_range/no_shock; stressR=1.83.
2026-01-20 04:00:00+00:00,2026-01-20 15:00:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,0.12782,0.1294,0.12465999999999999,0.001579999999999998,1.8382025316455695,True,2.0,660.0,0.3676405063291139,2.2278481012658227,-0.30379746835443594,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.9514607594936708,1.8382025316455695,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=1.84.
2026-01-20 16:30:00+00:00,2026-01-21 01:30:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,0.1238,0.12564,0.12011999999999998,0.0018400000000000083,-1.1345652173913037,False,2.0,540.0,-0.22691304347826075,0.8695652173912952,-1.0326086956521763,stop,accepted_trade,context_change,transition,transition,no_shock,normal,-1.0403695652173912,-1.1345652173913037,Full accepted trade. setup=context_change; session=ny; context=transition/transition/no_shock; stressR=-1.13.
2026-02-05 14:45:00+00:00,2026-02-05 20:15:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,0.0984,0.1028,0.0896,0.004400000000000001,1.9552727272727273,True,2.0,330.0,0.3910545454545455,2.4772727272727284,-0.06818181818181697,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,1.9865818181818182,1.9552727272727273,Full accepted trade. setup=context_change; session=ny; context=strong_trend/directional/no_shock; stressR=1.96.
2026-02-09 00:30:00+00:00,2026-02-10 00:30:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,0.0959,0.098,0.09169999999999999,0.0021000000000000046,-0.09133333333333313,False,2.0,1440.0,-0.018266666666666626,1.5999999999999974,-0.7619047619047622,expiry,accepted_trade,context_change,transition,transition,no_shock,normal,-0.02739999999999994,-0.09133333333333313,Full accepted trade. setup=context_change; session=asia; context=transition/transition/no_shock; stressR=-0.09.
2026-02-10 13:45:00+00:00,2026-02-10 17:30:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,0.09334,0.09416,0.09170000000000003,0.0008199999999999874,-1.2276585365853694,False,2.0,225.0,-0.24553170731707388,1.7560975609756497,-1.0487804878048936,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.068297560975611,-1.2276585365853694,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-1.23.
2026-02-11 04:30:00+00:00,2026-02-11 10:30:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,0.0918,0.09291,0.08958,0.0011099999999999999,1.8345945945945945,True,2.0,360.0,0.3669189189189189,2.0720720720720815,-0.4414414414414329,target,accepted_trade,context_change,weak_or_range,range,no_shock,normal,1.9503783783783784,1.8345945945945945,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=1.83.
