ts,exit_ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,planned_rr,duration_min,return_pct,mfe_r,mae_r,exit_reason,review_bucket,setup,trend_strength,consolidation_state,shock_alignment,compression_state,base_net_r,stress_net_r,notes_hint
2025-08-19 04:00:00+00:00,2025-08-20 04:00:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2.985,3.0796,2.7957999999999994,0.09460000000000024,-0.06310782241014783,False,2.0,1440.0,-0.012621564482029566,1.4545454545454504,-0.5443974630021162,expiry,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,-0.01893234672304435,-0.06310782241014783,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-0.06.
2025-08-22 03:30:00+00:00,2025-08-22 05:30:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2.8311,2.8698,2.7537000000000003,0.03869999999999996,-1.14631007751938,False,2.0,120.0,-0.229262015503876,0.2739018087855343,-1.064599483204133,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.043893023255814,-1.14631007751938,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-1.15.
2025-08-22 06:30:00+00:00,2025-08-22 07:00:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2.8483,2.8655,2.8139000000000003,0.017199999999999882,-1.331197674418607,False,2.0,30.0,-0.26623953488372143,0.15116279069768462,-1.3895348837209287,stop,accepted_trade,context_change,weak_or_range,range,no_shock,normal,-1.099359302325582,-1.331197674418607,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=-1.33.
2025-08-29 00:30:00+00:00,2025-08-29 04:45:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2.9574,2.9778,2.9166,0.020399999999999974,1.7100588235294114,True,2.0,255.0,0.3420117647058823,2.1519607843137196,-0.14705882352941752,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,1.9130176470588234,1.7100588235294114,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=1.71.
2025-08-30 12:30:00+00:00,2025-08-30 16:30:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,2.7837,2.8112,2.7287000000000003,0.027499999999999858,-1.2024509090909101,False,2.0,240.0,-0.24049018181818202,0.39272727272728,-1.1163636363636402,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.060735272727273,-1.2024509090909101,Full accepted trade. setup=context_change; session=ny; context=strong_trend/directional/no_shock; stressR=-1.20.
2025-09-11 01:00:00+00:00,2025-09-11 12:30:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,2.996,2.9759,3.0361999999999996,0.020099999999999785,-1.2981094527363215,False,2.0,690.0,-0.2596218905472643,1.9402985074627146,-2.6815920398010267,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.0894328358208965,-1.2981094527363215,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-1.30.
2025-09-18 00:00:00+00:00,2025-09-18 06:00:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,3.0926,3.0685,3.1408000000000005,0.024100000000000232,-1.256647302904562,False,2.0,360.0,-0.2513294605809124,0.7717842323651449,-1.4315352697095287,stop,accepted_trade,context_change,trend,directional,no_shock,expanded,-1.0769941908713685,-1.256647302904562,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-1.26.
2025-09-18 14:30:00+00:00,2025-09-18 17:30:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,3.1213,3.1019,3.1601000000000004,0.019400000000000084,-1.3217835051546378,False,2.0,180.0,-0.26435670103092757,0.32989690721647996,-1.2474226804123658,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.0965350515463914,-1.3217835051546378,Full accepted trade. setup=context_change; session=ny; context=strong_trend/directional/no_shock; stressR=-1.32.
2025-10-02 00:45:00+00:00,2025-10-02 02:30:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,2.9421,2.9257,2.9749,0.01639999999999997,1.64120731707317,True,2.0,105.0,0.328241463414634,2.2743902439024497,-0.08536585365852734,target,accepted_trade,context_change,weak_or_range,range,no_shock,normal,1.892362195121951,1.64120731707317,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=1.64.
2025-10-02 16:00:00+00:00,2025-10-03 16:00:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,3.028,2.9741,3.1358,0.05390000000000006,-0.11235621521335794,False,2.0,1440.0,-0.022471243042671587,1.3172541743970334,-0.46011131725417265,expiry,accepted_trade,context_change,weak_or_range,range,no_shock,normal,-0.033706864564007386,-0.11235621521335794,Full accepted trade. setup=context_change; session=ny; context=weak_or_range/range/no_shock; stressR=-0.11.
