ts,exit_ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,planned_rr,duration_min,return_pct,mfe_r,mae_r,exit_reason,review_bucket,setup,trend_strength,consolidation_state,shock_alignment,compression_state,dmi_alignment,base_net_r,stress_net_r,notes_hint
2026-02-08 04:00:00+00:00,2026-02-08 08:30:00+00:00,BNBUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,641.67,648.66,627.6899999999999,6.990000000000009,-1.183596566523605,False,2.0,270.0,-0.29589914163090125,0.36623748211730217,-1.3118741058655308,stop,accepted_trade,context_change,transition,transition,no_shock,normal,aligned,-1.0550789699570815,-1.183596566523605,Full accepted trade. setup=context_change; session=asia; context=transition/transition/no_shock; stressR=-1.18.
2026-02-10 06:45:00+00:00,2026-02-11 04:30:00+00:00,BNBUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,629.77,639.51,610.29,9.740000000000009,1.8706837782340864,True,2.0,1305.0,0.46767094455852154,2.0082135523613887,-0.5759753593429167,target,accepted_trade,context_change,transition,transition,no_shock,normal,aligned,1.9612051334702258,1.8706837782340864,Full accepted trade. setup=context_change; session=asia; context=transition/transition/no_shock; stressR=1.87.
2026-02-13 05:30:00+00:00,2026-02-13 15:15:00+00:00,BNBUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,602.15,612.0,582.4499999999999,9.850000000000023,-1.1222639593908625,False,2.0,585.0,-0.28056598984771564,0.9807106598984716,-1.052791878172587,stop,accepted_trade,context_change,trend,directional,no_shock,expanded,aligned,-1.0366791878172588,-1.1222639593908625,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-1.12.
2026-02-24 05:00:00+00:00,2026-02-24 14:15:00+00:00,BNBUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,593.91,601.51,578.7099999999999,7.600000000000023,1.8437078947368426,True,2.0,555.0,0.46092697368421065,2.044736842105252,-0.0,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,aligned,1.9531123684210527,1.8437078947368426,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=1.84.
2026-02-25 00:00:00+00:00,2026-02-25 01:00:00+00:00,BNBUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,582.99,586.74,575.49,3.75,-1.310928,False,2.0,60.0,-0.327732,0.3946666666666715,-3.7466666666666546,stop,accepted_trade,context_change,trend,directional,no_shock,normal,aligned,-1.0932784,-1.310928,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-1.31.
2026-02-27 02:00:00+00:00,2026-02-27 10:00:00+00:00,BNBUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,627.04,622.5,636.1199999999999,4.539999999999964,-1.2762290748898701,False,2.0,480.0,-0.31905726872246754,1.4559471365638914,-1.808370044052861,stop,accepted_trade,context_change,weak_or_range,range,no_shock,normal,aligned,-1.082868722466961,-1.2762290748898701,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=-1.28.
2026-03-17 02:30:00+00:00,2026-03-17 03:30:00+00:00,BNBUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,684.08,676.19,699.86,7.889999999999986,-1.1734043092522184,False,2.0,60.0,-0.2933510773130546,0.06970849176171806,-1.103929024081122,stop,accepted_trade,context_change,transition,transition,no_shock,normal,aligned,-1.0520212927756656,-1.1734043092522184,Full accepted trade. setup=context_change; session=asia; context=transition/transition/no_shock; stressR=-1.17.
2026-04-22 02:00:00+00:00,2026-04-22 13:30:00+00:00,BNBUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,635.28,628.96,647.9199999999998,6.319999999999936,1.7989620253164538,True,2.0,690.0,0.4497405063291135,3.1028481012658564,-0.001582278481011235,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,aligned,1.939688607594936,1.7989620253164538,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=1.80.
2026-05-13 00:30:00+00:00,2026-05-13 01:00:00+00:00,BNBUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,668.33,664.93,675.1300000000002,3.400000000000091,1.6068647058823635,True,2.0,30.0,0.4017161764705909,2.6176470588234526,-0.32941176470587485,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,aligned,1.8820594117647091,1.6068647058823635,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=1.61.
2026-05-18 04:00:00+00:00,2026-05-18 14:15:00+00:00,BNBUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,644.82,648.68,637.1000000000003,3.8599999999999,1.6658963730569862,True,2.0,615.0,0.4164740932642466,2.2538860103627645,-0.24352331606216715,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,aligned,1.899768911917096,1.6658963730569862,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=1.67.
2026-05-25 05:00:00+00:00,2026-05-25 12:15:00+00:00,BNBUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,660.63,656.23,669.43,4.399999999999977,1.6997136363636347,True,2.0,435.0,0.4249284090909087,2.031818181818205,-0.24090909090907975,target,accepted_trade,context_change,weak_or_range,range,no_shock,normal,aligned,1.9099140909090904,1.6997136363636347,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=1.70.
2026-06-04 00:00:00+00:00,2026-06-04 00:30:00+00:00,BNBUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,624.16,629.3,613.88,5.139999999999986,1.7571361867704274,True,2.0,30.0,0.43928404669260684,2.2120622568093453,-0.14785992217898694,target,accepted_trade,context_change,weak_or_range,range,no_shock,normal,aligned,1.9271408560311283,1.7571361867704274,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=1.76.
2026-06-04 04:45:00+00:00,2026-06-04 05:15:00+00:00,BNBUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,614.97,621.74,601.4300000000001,6.769999999999982,1.8183249630723777,True,2.0,30.0,0.4545812407680944,2.0457902511078374,-0.0,target,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,aligned,1.9454974889217134,1.8183249630723777,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=1.82.
2026-06-06 04:00:00+00:00,2026-06-06 06:00:00+00:00,BNBUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,567.54,579.46,543.6999999999998,11.920000000000073,-1.0952248322147644,False,2.0,120.0,-0.2738062080536911,0.6325503355704629,-1.0293624161073747,stop,accepted_trade,context_change,transition,transition,no_shock,normal,aligned,-1.0285674496644293,-1.0952248322147644,Full accepted trade. setup=context_change; session=asia; context=transition/transition/no_shock; stressR=-1.10.
2026-07-06 00:30:00+00:00,2026-07-06 02:30:00+00:00,BNBUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,591.04,585.88,601.3599999999999,5.159999999999968,-1.2290852713178309,False,2.0,120.0,-0.3072713178294577,0.4922480620155219,-1.0426356589147343,stop,accepted_trade,context_change,weak_or_range,range,no_shock,normal,aligned,-1.0687255813953493,-1.2290852713178309,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=-1.23.
