ts,exit_ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,planned_rr,duration_min,return_pct,mfe_r,mae_r,exit_reason,review_bucket,setup,trend_strength,consolidation_state,shock_alignment,compression_state,base_net_r,stress_net_r,notes_hint
2026-04-17 08:30:00+00:00,2026-04-17 09:15:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,long,75301.6,74848.4,76208.00000000003,453.20000000001164,1.667689320388358,True,2.0,45.0,0.3335378640776716,2.313327449249707,-0.12842012356577703,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.9003067961165074,1.667689320388358,Full accepted trade. setup=context_change; session=london; context=trend/directional/no_shock; stressR=1.67.
2026-04-21 10:30:00+00:00,2026-04-21 12:30:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,long,76521.7,76103.3,77358.49999999999,418.3999999999942,-1.3657825047801198,False,2.0,120.0,-0.27315650095602395,0.7715105162524077,-2.128346080305957,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.1097347514340359,-1.3657825047801198,Full accepted trade. setup=context_change; session=london; context=strong_trend/directional/no_shock; stressR=-1.37.
2026-04-22 02:00:00+00:00,2026-04-22 05:15:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,76696.3,76170.0,77748.90000000001,526.3000000000029,1.7085453163594924,True,2.0,195.0,0.3417090632718985,3.3273798213946177,-0.0,target,accepted_trade,context_change,trend,directional,no_shock,expanded,1.9125635949078477,1.7085453163594924,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=1.71.
2026-05-01 12:00:00+00:00,2026-05-01 13:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,77519.3,77118.1,78321.7,401.1999999999971,1.6135628115653013,True,2.0,60.0,0.3227125623130603,2.195164506480567,-0.024925224327019123,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.8840688434695905,1.6135628115653013,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=1.61.
2026-05-05 13:00:00+00:00,2026-05-05 23:30:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,81579.9,80750.0,83239.69999999998,829.8999999999942,-1.1966017592481035,False,2.0,630.0,-0.2393203518496207,0.19942161706229805,-1.040004819857811,stop,accepted_trade,context_change,trend,directional,no_shock,expanded,-1.058980527774431,-1.1966017592481035,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-1.20.
2026-05-06 03:30:00+00:00,2026-05-06 11:15:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,81499.9,81000.0,82499.69999999998,499.8999999999942,1.6739351870374037,True,2.0,465.0,0.3347870374074807,2.658131626325302,-0.9887977595518986,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.902180556111221,1.6739351870374037,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=1.67.
2026-05-19 14:00:00+00:00,2026-05-19 19:15:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,76588.1,77033.9,75696.50000000003,445.79999999998836,-1.3435984746523195,False,2.0,315.0,-0.2687196949304639,1.0789591745177491,-1.018842530282658,stop,accepted_trade,context_change,weak_or_range,range,no_shock,normal,-1.1030795423956958,-1.3435984746523195,Full accepted trade. setup=context_change; session=ny; context=weak_or_range/range/no_shock; stressR=-1.34.
2026-05-28 00:00:00+00:00,2026-05-29 00:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,74409.6,75391.0,72446.80000000002,981.3999999999942,-0.15163969839005595,False,2.0,1440.0,-0.03032793967801119,1.8887303851640684,-0.15865090686773795,expiry,accepted_trade,context_change,trend,directional,no_shock,normal,-0.04549190951701678,-0.15163969839005595,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-0.15.
2026-05-29 13:00:00+00:00,2026-05-29 15:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,73099.3,73662.3,71973.3,563.0,-1.2596777975133215,False,2.0,120.0,-0.2519355595026643,1.1781527531083533,-1.124866785079934,stop,accepted_trade,context_change,trend,directional,no_shock,expanded,-1.0779033392539965,-1.2596777975133215,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-1.26.
2026-06-01 12:00:00+00:00,2026-06-02 02:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,72036.8,72787.0,70536.40000000001,750.1999999999971,1.807953079178885,True,2.0,840.0,0.361590615835777,2.6643561716875643,-0.355638496400965,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,1.9423859237536654,1.807953079178885,Full accepted trade. setup=context_change; session=ny; context=strong_trend/directional/no_shock; stressR=1.81.
2026-06-03 13:15:00+00:00,2026-06-03 16:15:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,66811.0,67299.9,65833.20000000001,488.8999999999942,1.7266884843526251,True,2.0,180.0,0.345337696870525,2.6645530783391544,-0.7445285334424306,target,accepted_trade,context_change,transition,transition,no_shock,normal,1.9180065453057875,1.7266884843526251,Full accepted trade. setup=context_change; session=ny; context=transition/transition/no_shock; stressR=1.73.
2026-06-04 05:00:00+00:00,2026-06-05 05:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,63935.2,64739.8,61344.8,804.6000000000058,-0.1589241859308962,False,3.2194879443201287,1440.0,-0.031784837186179235,2.2177479492915504,-0.6771066368381792,expiry,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,-0.047677255779268846,-0.1589241859308962,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-0.16.
2026-06-05 08:30:00+00:00,2026-06-05 09:15:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,62501.3,63088.0,61067.6,586.6999999999971,-1.213060507925687,False,2.443667973410621,45.0,-0.24261210158513744,0.45508777910346226,-1.2450997102437422,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.0639181523777061,-1.213060507925687,Full accepted trade. setup=context_change; session=london; context=trend/directional/no_shock; stressR=-1.21.
2026-06-05 10:15:00+00:00,2026-06-05 13:45:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,62549.0,63088.0,61471.0,539.0,1.7679072356215213,True,2.0,210.0,0.3535814471243043,3.447495361781071,-0.24860853432282004,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.9303721706864565,1.7679072356215213,Full accepted trade. setup=context_change; session=london; context=trend/directional/no_shock; stressR=1.77.
2026-06-06 01:30:00+00:00,2026-06-06 04:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,61025.0,61500.0,60075.0,475.0,1.7430526315789474,True,2.0,150.0,0.3486105263157895,2.049894736842099,-0.29368421052631577,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.9229157894736841,1.7430526315789474,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=1.74.
2026-06-06 13:45:00+00:00,2026-06-07 01:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,60779.5,61173.5,59991.5,394.0,-1.3085253807106598,False,2.0,675.0,-0.26170507614213195,1.0814720812182703,-1.5492385786802068,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.0925576142131979,-1.3085253807106598,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-1.31.
2026-06-25 00:45:00+00:00,2026-06-25 04:45:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,60786.9,61138.9,60082.9,352.0,-1.3453801136363637,False,2.0,240.0,-0.26907602272727277,0.3946022727272769,-1.7105113636363596,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.103614034090909,-1.3453801136363637,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-1.35.
2026-06-26 12:30:00+00:00,2026-06-26 13:45:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,59118.9,60039.1,57278.50000000001,920.1999999999971,-1.1284914149098026,False,2.0,75.0,-0.2256982829819605,0.79428385133667,-1.163442729841341,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.0385474244729407,-1.1284914149098026,Full accepted trade. setup=context_change; session=ny; context=strong_trend/directional/no_shock; stressR=-1.13.
