ts,exit_ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,planned_rr,duration_min,return_pct,mfe_r,mae_r,exit_reason,review_bucket,setup,trend_strength,consolidation_state,shock_alignment,compression_state,dmi_alignment,base_net_r,stress_net_r,notes_hint
2026-02-02 00:45:00+00:00,2026-02-02 03:15:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2293.2,2334.9,2209.7999999999993,41.70000000000027,1.8900143884892093,True,2.0,150.0,0.4725035971223024,3.0019184652277944,-0.6105515587529945,target,accepted_trade,context_change,trend,directional,no_shock,normal,aligned,1.9670043165467628,1.8900143884892093,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=1.89.
2026-02-10 06:00:00+00:00,2026-02-10 06:45:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2051.55,2074.35,2005.9500000000007,22.799999999999727,1.8200394736842083,True,2.0,45.0,0.45500986842105207,2.3666666666667067,-0.1074561403508705,target,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,aligned,1.9460118421052626,1.8200394736842083,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=1.82.
2026-02-11 06:00:00+00:00,2026-02-11 14:00:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,1953.25,1981.4,1896.9499999999998,28.15000000000009,-1.138774422735346,False,2.0,480.0,-0.2846936056838365,0.7541740674955577,-2.222380106571927,stop,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,aligned,-1.0416323268206038,-1.138774422735346,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-1.14.
2026-03-09 00:15:00+00:00,2026-03-09 00:30:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,1942.24,1955.2,1916.14,12.960000000000036,-1.2997283950617275,False,2.0138888888888764,15.0,-0.3249320987654319,0.0,-1.8441358024691377,stop,accepted_trade,context_change,trend,directional,no_shock,normal,aligned,-1.0899185185185183,-1.2997283950617275,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-1.30.
2026-03-15 02:30:00+00:00,2026-03-15 22:00:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,2103.88,2083.35,2144.9400000000005,20.5300000000002,1.7950433511933774,True,2.0,1170.0,0.44876083779834436,2.2274719922065063,-0.8543594739405647,target,accepted_trade,context_change,trend,directional,no_shock,normal,aligned,1.9385130053580133,1.7950433511933774,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=1.80.
2026-04-06 04:00:00+00:00,2026-04-06 09:15:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,2127.7,2111.49,2160.12,16.210000000000036,1.7374830351634798,True,2.0,315.0,0.43437075879086995,2.881554595928435,-0.5342381246144253,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,aligned,1.921244910549044,1.7374830351634798,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=1.74.
2026-04-26 05:30:00+00:00,2026-04-26 18:00:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,2328.0,2311.31,2361.38,16.690000000000055,1.7210305572198932,True,2.0,750.0,0.4302576393049733,2.276812462552419,-0.36129418813661957,target,accepted_trade,context_change,trend,directional,no_shock,expanded,aligned,1.916309167165968,1.7210305572198932,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=1.72.
2026-05-15 05:00:00+00:00,2026-05-15 05:30:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2265.11,2278.68,2237.9700000000007,13.569999999999709,1.666159174649956,True,2.0,30.0,0.416539793662489,2.126750184229974,-0.06927044952100772,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,aligned,1.8998477523949868,1.666159174649956,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=1.67.
2026-06-02 06:15:00+00:00,2026-06-02 14:15:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,1984.05,2005.92,1940.3099999999997,21.87000000000012,1.818559670781894,True,2.0,480.0,0.4546399176954735,2.7457704618198275,-0.2560585276634708,target,accepted_trade,context_change,transition,transition,no_shock,normal,aligned,1.9455679012345681,1.818559670781894,Full accepted trade. setup=context_change; session=asia; context=transition/transition/no_shock; stressR=1.82.
2026-06-05 00:45:00+00:00,2026-06-05 03:00:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,1758.53,1776.22,1723.1499999999999,17.690000000000055,1.8011837196156026,True,2.0,135.0,0.4502959299039007,2.1068400226116375,-0.2866026003391702,target,accepted_trade,context_change,trend,directional,no_shock,normal,aligned,1.9403551158846808,1.8011837196156026,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=1.80.
2026-06-26 02:00:00+00:00,2026-06-26 07:15:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,1521.48,1579.0,1406.44,57.51999999999998,-1.05290264255911,False,2.0,315.0,-0.2632256606397775,0.18445757997218587,-1.0413769123783052,stop,accepted_trade,context_change,trend,directional,no_shock,normal,aligned,-1.015870792767733,-1.05290264255911,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-1.05.
