pair,exchange,entry_tf,leverage,risk_pct,stop_atr_mult,stop_mode,entry_threshold,trades,win_rate,profit_factor,payoff_ratio,avg_r,total_pnl,return_pct,final_equity,max_drawdown_pct,max_drawdown,sharpe,avg_duration_min,error
DOGEUSDT,binance,15,50.0,0.005,2.0,atr,0.8,71,0.2958,0.445,1.061,-0.414,-2.75,-0.1373,17.25,0.1453,2.91,-5.814,319.9,
DOGEUSDT,binance,15,50.0,0.005,2.0,channel,0.8,71,0.2958,0.445,1.061,-0.414,-2.75,-0.1373,17.25,0.1453,2.91,-5.814,319.9,
DOGEUSDT,binance,15,50.0,0.005,3.0,atr,0.8,50,0.36,0.425,0.755,-0.345,-1.66,-0.0828,18.34,0.0842,1.68,-6.002,392.1,
DOGEUSDT,binance,15,50.0,0.005,3.0,channel,0.8,50,0.36,0.425,0.755,-0.345,-1.66,-0.0828,18.34,0.0842,1.68,-6.002,392.1,
BTCUSDT,binance,5,50.0,0.005,2.0,atr,0.8,32,0.0312,0.031,0.973,-1.592,-4.25,-0.2126,15.75,0.2126,4.25,-42.119,71.9,
BTCUSDT,binance,5,50.0,0.005,2.0,channel,0.8,32,0.0312,0.031,0.973,-1.592,-4.25,-0.2126,15.75,0.2126,4.25,-42.119,71.9,
BTCUSDT,binance,5,50.0,0.005,3.0,atr,0.8,4,0.0,0.0,0.0,-1.624,-0.63,-0.0313,19.37,0.0313,0.63,-415.3,50.0,
BTCUSDT,binance,5,50.0,0.005,3.0,channel,0.8,4,0.0,0.0,0.0,-1.624,-0.63,-0.0313,19.37,0.0313,0.63,-415.3,50.0,
BTCUSDT,binance,15,50.0,0.005,2.0,atr,0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,0.005,2.0,channel,0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,0.005,3.0,atr,0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,0.005,3.0,channel,0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
