pair,exchange,entry_tf,leverage,entry_len,exit_len,stop_atr_mult,stop_mode,risk_pct,trades,win_rate,profit_factor,payoff_ratio,avg_r,total_pnl,return_pct,final_equity,max_drawdown_pct,max_drawdown,sharpe,avg_duration_min,error
XRPUSDT,binance,5,50.0,40,10,3.0,channel,0.005,6,0.3333,0.706,1.411,-0.127,-0.08,-0.0039,19.92,0.0094,0.19,-2.267,88.3,
DOGEUSDT,binance,15,50.0,20,10,3.0,atr,0.005,6,0.5,0.507,0.507,-0.239,-0.14,-0.0071,19.86,0.0092,0.18,-4.2,387.5,
XRPUSDT,binance,15,50.0,40,10,2.0,channel,0.005,3,0.3333,0.481,0.961,-0.227,-0.07,-0.0034,19.93,0.0055,0.11,-4.14,235.0,
XRPUSDT,binance,15,50.0,40,10,3.0,channel,0.005,3,0.3333,0.481,0.961,-0.227,-0.07,-0.0034,19.93,0.0055,0.11,-4.14,235.0,
DOGEUSDT,binance,15,50.0,20,10,2.0,channel,0.005,6,0.5,0.424,0.424,-0.252,-0.15,-0.0075,19.85,0.0078,0.16,-5.443,400.0,
DOGEUSDT,binance,15,50.0,20,10,3.0,channel,0.005,6,0.5,0.424,0.424,-0.252,-0.15,-0.0075,19.85,0.0078,0.16,-5.443,400.0,
XRPUSDT,binance,15,50.0,20,10,2.0,atr,0.005,8,0.375,0.423,0.705,-0.351,-0.28,-0.014,19.72,0.0141,0.28,-6.066,346.9,
ETHUSDT,binance,5,50.0,20,10,3.0,atr,0.005,2,0.5,0.36,0.36,-0.38,-0.07,-0.0037,19.93,0.0058,0.12,-5.191,100.0,
ETHUSDT,binance,5,50.0,40,10,3.0,atr,0.005,2,0.5,0.36,0.36,-0.38,-0.07,-0.0037,19.93,0.0058,0.12,-5.191,100.0,
XRPUSDT,binance,15,50.0,20,10,3.0,atr,0.005,8,0.375,0.348,0.579,-0.326,-0.26,-0.0128,19.74,0.0128,0.26,-7.25,346.9,
ETHUSDT,binance,5,50.0,20,10,2.0,atr,0.005,4,0.25,0.207,0.622,-0.65,-0.25,-0.0123,19.75,0.0156,0.31,-11.364,121.2,
ETHUSDT,binance,5,50.0,40,10,2.0,atr,0.005,4,0.25,0.205,0.614,-0.648,-0.25,-0.0125,19.75,0.0158,0.32,-11.348,112.5,
DOGEUSDT,binance,15,50.0,40,10,2.0,channel,0.005,4,0.5,0.204,0.204,-0.312,-0.12,-0.0062,19.88,0.0078,0.16,-8.929,348.8,
DOGEUSDT,binance,15,50.0,40,10,3.0,channel,0.005,4,0.5,0.204,0.204,-0.312,-0.12,-0.0062,19.88,0.0078,0.16,-8.929,348.8,
XRPUSDT,binance,15,50.0,20,10,2.0,channel,0.005,7,0.2857,0.201,0.503,-0.47,-0.32,-0.0162,19.68,0.0162,0.32,-10.871,300.0,
XRPUSDT,binance,15,50.0,20,10,3.0,channel,0.005,7,0.2857,0.201,0.503,-0.47,-0.32,-0.0162,19.68,0.0162,0.32,-10.871,300.0,
DOGEUSDT,binance,15,50.0,40,10,2.0,atr,0.005,4,0.5,0.169,0.169,-0.477,-0.19,-0.0095,19.81,0.0114,0.23,-9.654,326.2,
DOGEUSDT,binance,15,50.0,40,10,3.0,atr,0.005,4,0.5,0.14,0.14,-0.398,-0.16,-0.0079,19.84,0.0092,0.18,-10.07,330.0,
DOGEUSDT,binance,15,50.0,20,10,2.0,atr,0.005,6,0.3333,0.087,0.174,-0.683,-0.41,-0.0203,19.59,0.0206,0.41,-15.804,242.5,
BNBUSDT,binance,5,50.0,20,10,3.0,atr,0.005,7,0.1429,0.007,0.043,-0.697,-0.42,-0.0208,19.58,0.021,0.42,-23.959,58.6,
BNBUSDT,binance,5,50.0,40,10,2.0,atr,0.005,6,0.1667,0.007,0.036,-1.068,-0.62,-0.0308,19.38,0.031,0.62,-30.005,45.8,
BNBUSDT,binance,5,50.0,20,10,2.0,atr,0.005,8,0.125,0.006,0.039,-1.108,-0.79,-0.0395,19.21,0.0397,0.8,-36.215,43.8,
BNBUSDT,binance,5,50.0,40,10,3.0,atr,0.005,6,0.1667,0.006,0.032,-0.873,-0.46,-0.0231,19.54,0.0232,0.46,-28.128,45.8,
ETHUSDT,binance,5,50.0,20,10,2.0,channel,0.005,1,0.0,0.0,0.0,-1.167,-0.11,-0.0055,19.89,0.0055,0.11,0.0,135.0,
ETHUSDT,binance,5,50.0,20,10,3.0,channel,0.005,1,0.0,0.0,0.0,-1.167,-0.11,-0.0055,19.89,0.0055,0.11,0.0,135.0,
ETHUSDT,binance,5,50.0,40,10,2.0,channel,0.005,1,0.0,0.0,0.0,-1.167,-0.11,-0.0055,19.89,0.0055,0.11,0.0,135.0,
