pair,exchange,entry_tf,leverage,entry_len,exit_len,stop_atr_mult,stop_mode,risk_pct,trades,win_rate,profit_factor,payoff_ratio,avg_r,total_pnl,return_pct,final_equity,max_drawdown_pct,max_drawdown,sharpe,avg_duration_min,error
BNBUSDT,binance,5,50.0,20,10,3.0,atr,0.005,815,0.3117,0.728,1.608,-0.14,-7.9,-0.3952,12.1,0.4224,8.57,-1.566,112.3,
BNBUSDT,binance,5,50.0,20,10,2.0,channel,0.005,780,0.3218,0.713,1.503,-0.123,-7.29,-0.3645,12.71,0.3884,7.81,-1.594,115.8,
BNBUSDT,binance,5,50.0,20,10,3.0,channel,0.005,780,0.3218,0.713,1.503,-0.123,-7.29,-0.3645,12.71,0.3884,7.81,-1.594,115.8,
SOLUSDT,binance,5,50.0,40,10,3.0,atr,0.005,522,0.3084,0.712,1.597,-0.142,-6.19,-0.3093,13.81,0.3374,6.94,-1.741,114.8,
BNBUSDT,binance,15,50.0,20,10,3.0,atr,0.005,257,0.3268,0.711,1.465,-0.148,-2.52,-0.1258,17.48,0.1264,2.53,-2.097,338.0,
DOGEUSDT,binance,15,50.0,40,10,3.0,atr,0.005,151,0.2914,0.709,1.725,-0.133,-1.94,-0.0971,18.06,0.1097,2.21,-2.004,369.3,
BNBUSDT,binance,15,50.0,40,10,3.0,atr,0.005,177,0.339,0.703,1.372,-0.151,-1.78,-0.0889,18.22,0.1085,2.17,-2.043,343.1,
XRPUSDT,binance,15,50.0,20,10,2.0,atr,0.005,272,0.2721,0.701,1.875,-0.186,-4.58,-0.2291,15.42,0.2496,4.99,-1.878,302.9,
SOLUSDT,binance,5,50.0,20,10,2.0,atr,0.005,809,0.2843,0.697,1.755,-0.188,-10.76,-0.5382,9.24,0.5642,11.83,-1.688,99.5,
SOLUSDT,binance,5,50.0,20,10,3.0,atr,0.005,740,0.3095,0.695,1.551,-0.144,-8.26,-0.4132,11.74,0.4308,8.82,-1.798,114.5,
BNBUSDT,binance,5,50.0,40,10,2.0,channel,0.005,532,0.3195,0.691,1.471,-0.129,-5.31,-0.2655,14.69,0.2784,5.58,-1.858,117.7,
BNBUSDT,binance,5,50.0,40,10,3.0,channel,0.005,532,0.3195,0.691,1.471,-0.129,-5.31,-0.2655,14.69,0.2784,5.58,-1.858,117.7,
