symbol,setup,stop_tf,entry_ts,direction,session_utc,entry,sl,tp,stop_pct,target_pct,planned_rr,gross_r,base_cost_r,stress_cost_r,base_net_r,stress_net_r,mfe_r,mae_r,bars_to_exit,exit_kind,trend_strength,consolidation_state,shock_alignment,compression_state,pre_range_atr_16,adx_14,plus_di_14,minus_di_14,dmi_alignment,vwap_alignment,ema_alignment,vwap_trend_overridden,vwap_price,ema21_price,ema21_slope,exchange,net_r,hit_stop,exit_reason,target_model,management_model,entry_model,stop,target,exit_ts,pnl_pct,risk_per_trade_pct,open_trades_before
DOGEUSDT,context_change,15,2026-01-20 04:00:00+00:00,short,asia,0.12782,0.1294,0.12465999999999999,1.236113284306054,2.472226568612108,2.0,2.0,0.048539240506329163,0.16179746835443054,1.9514607594936708,1.8382025316455695,2.2278481012658227,-0.30379746835443594,44,target,trend,directional,no_shock,normal,3.6395147313691583,28.265980048652217,16.81109185441972,33.79549393414243,aligned,aligned,flat,False,0.12849696925580376,0.12854532819007788,-0.0003391921133244491,binance,1.8382025316455695,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,0.1294,0.12465999999999999,2026-01-20 15:00:00+00:00,0.004595506329113924,0.0025,0
BTCUSDT,context_change,15,2026-01-21 01:45:00+00:00,short,asia,89020.91,89645.56,87771.61000000002,0.7016890750723557,1.4033781501447113,2.0,-1.0,0.08550795805651244,0.2850265268550415,-1.0855079580565123,-1.2850265268550416,0.03347474585768621,-1.4636676538861881,15,stop,strong_trend,directional,no_shock,normal,4.473967133105983,56.409193735788946,15.812055578184285,36.65095227048953,aligned,opposed,opposed,False,88793.33226959285,89032.08634449591,1.7465859217772959,binance,-1.2850265268550416,True,stop,fixed_2r,hold_to_target_stop_or_expiry,context_change,89645.56,87771.61000000002,2026-01-21 05:30:00+00:00,-0.003212566317137604,0.0025,0
SOLUSDT,context_change,15,2026-01-25 03:30:00+00:00,short,asia,126.56,127.44,124.80000000000001,0.6953223767383023,1.3906447534766047,2.0,2.0,0.08629090909090953,0.28763636363636513,1.9137090909090904,1.712363636363635,4.568181818181837,-0.625,50,target,weak_or_range,range,no_shock,normal,3.588447653429558,15.968978709380533,16.60649819494505,29.602888086642245,aligned,aligned,aligned,False,127.1796581593199,127.13694679745787,-0.12727478931601865,binance,1.712363636363635,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,127.44,124.80000000000001,2026-01-25 16:00:00+00:00,0.004280909090909088,0.0025,0
ETHUSDT,context_change,15,2026-02-02 00:45:00+00:00,short,asia,2293.2,2334.9,2209.7999999999993,1.8184196755625448,3.6368393511250896,2.0,2.0,0.03299568345323719,0.10998561151079063,1.9670043165467628,1.8900143884892093,3.0019184652277944,-0.6105515587529945,10,target,trend,directional,no_shock,normal,3.0976972072513447,27.665503631612577,19.268985791278872,26.93777560019599,aligned,flat,aligned,False,2296.3081958370644,2304.9984110578325,-4.834697934917131,binance,1.8900143884892093,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,2334.9,2209.7999999999993,2026-02-02 03:15:00+00:00,0.004725035971223024,0.0025,0
BTCUSDT,context_change,15,2026-02-02 03:00:00+00:00,short,asia,75890.1,77740.91,72188.48000000001,2.438802953217874,4.877605906435748,2.0,-1.0,0.024602233616632746,0.08200744538877583,-1.0246022336166327,-1.0820074453887758,0.6948849422685243,-1.040031121508959,27,stop,weak_or_range,range,no_shock,normal,3.780676299640687,15.420774048498973,15.967059837667742,23.260602388044514,aligned,aligned,aligned,False,77196.89566663631,77129.86342932875,-279.5894442394929,binance,-1.0820074453887758,True,stop,fixed_2r,hold_to_target_stop_or_expiry,context_change,77740.91,72188.48000000001,2026-02-02 09:45:00+00:00,-0.0027050186134719395,0.0025,1
XRPUSDT,context_change,15,2026-02-02 03:00:00+00:00,short,asia,1.5639,1.6097,1.4723000000000004,2.9285759959076563,5.8571519918153125,2.0,-1.0,0.02048777292576426,0.06829257641921421,-1.0204877729257642,-1.0682925764192142,0.7510917030567709,-1.0240174672489106,26,stop,transition,transition,no_shock,normal,3.7247191011235934,19.897846085652372,14.807383627608353,20.345104333868502,aligned,aligned,aligned,False,1.5965068590225548,1.5957314070900257,-0.004941882342531789,binance,-1.0682925764192142,True,stop,fixed_2r,hold_to_target_stop_or_expiry,context_change,1.6097,1.4723000000000004,2026-02-02 09:30:00+00:00,-0.0026707314410480353,0.0025,2
SOLUSDT,context_change,15,2026-02-05 05:15:00+00:00,short,asia,90.43,91.82,87.65000000000003,1.5371005197390093,3.0742010394780186,2.0,-1.0,0.0390345323741011,0.13011510791367037,-1.039034532374101,-1.1301151079136704,0.17266187050360535,-1.129496402877704,1,stop,transition,range_to_trend_transition,no_shock,normal,2.784770784770786,24.30990130805003,10.955710955710925,23.69852369852367,aligned,aligned,aligned,False,91.38117647058823,91.42088979896486,-0.14681713116607398,binance,-1.1301151079136704,True,stop,fixed_2r,hold_to_target_stop_or_expiry,context_change,91.82,87.65000000000003,2026-02-05 05:30:00+00:00,-0.002825287769784176,0.0025,0
BNBUSDT,context_change,15,2026-02-08 04:00:00+00:00,short,asia,641.67,648.66,627.6899999999999,1.0893449904156356,2.178689980831271,2.0,-1.0,0.05507896995708147,0.1835965665236049,-1.0550789699570815,-1.183596566523605,0.36623748211730217,-1.3118741058655308,18,stop,transition,transition,no_shock,normal,3.654166666666644,19.90418913922685,13.869047619047468,21.96428571428595,aligned,aligned,aligned,False,647.2790813854525,646.8801426411155,-1.4979941838275863,binance,-1.183596566523605,True,stop,fixed_2r,hold_to_target_stop_or_expiry,context_change,648.66,627.6899999999999,2026-02-08 08:30:00+00:00,-0.0029589914163090127,0.0025,0
DOGEUSDT,context_change,15,2026-02-09 05:00:00+00:00,short,asia,0.0958,0.098,0.09139999999999998,2.2964509394572103,4.592901878914421,2.0,0.0,0.026127272727272634,0.08709090909090879,-0.026127272727272634,-0.08709090909090879,1.4818181818181764,-0.5454545454545466,96,expiry,weak_or_range,range,no_shock,normal,2.9465301478953503,10.178540794163185,23.435722411831915,30.48919226393623,aligned,aligned,flat,False,0.09646517684276974,0.09664858749181872,-0.00014951214963025705,binance,-0.08709090909090879,False,expiry,fixed_2r,hold_to_target_stop_or_expiry,context_change,0.098,0.09139999999999998,2026-02-10 05:00:00+00:00,-0.00021772727272727197,0.0025,0
ETHUSDT,context_change,15,2026-02-10 06:00:00+00:00,short,asia,2051.55,2074.35,2005.9500000000007,1.1113548292754125,2.222709658550825,2.0,2.0,0.053988157894737494,0.17996052631579165,1.9460118421052626,1.8200394736842083,2.3666666666667067,-0.1074561403508705,3,target,strong_trend,directional,no_shock,expanded,6.176255866504444,46.373034665418345,4.664233153716745,46.24833420244535,aligned,aligned,aligned,False,2078.3475956361517,2077.5643612206763,-11.947445668835371,binance,1.8200394736842083,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,2074.35,2005.9500000000007,2026-02-10 06:45:00+00:00,0.0045500986842105205,0.0025,0
BNBUSDT,context_change,15,2026-02-10 06:45:00+00:00,short,asia,629.77,639.51,610.29,1.5465963764548978,3.0931927529097956,2.0,2.0,0.03879486652977409,0.12931622176591362,1.9612051334702258,1.8706837782340864,2.0082135523613887,-0.5759753593429167,87,target,transition,transition,no_shock,normal,3.8262370540851816,23.853552505849272,19.217491369390093,27.502876869965508,aligned,aligned,aligned,False,635.574140717648,635.8943835437241,-1.0794653972791366,binance,1.8706837782340864,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,639.51,610.29,2026-02-11 04:30:00+00:00,0.004676709445585216,0.0025,0
DOGEUSDT,context_change,15,2026-02-11 04:30:00+00:00,short,asia,0.0918,0.09291,0.08958,1.2091503267973853,2.4183006535947706,2.0,2.0,0.04962162162162163,0.16540540540540544,1.9503783783783784,1.8345945945945945,2.0720720720720815,-0.4414414414414329,24,target,weak_or_range,range,no_shock,normal,3.6981132075471663,16.162195122977863,23.39622641509444,34.33962264150922,aligned,aligned,flat,False,0.09296216857723072,0.09281599244877951,-0.00017177354990441374,binance,1.8345945945945945,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,0.09291,0.08958,2026-02-11 10:30:00+00:00,0.004586486486486486,0.0025,0
ETHUSDT,context_change,15,2026-02-11 06:00:00+00:00,short,asia,1953.25,1981.4,1896.9499999999998,1.4411877639831099,2.8823755279662198,2.0,-1.0,0.04163232682060377,0.1387744227353459,-1.0416323268206038,-1.138774422735346,0.7541740674955577,-2.222380106571927,32,stop,strong_trend,directional,no_shock,expanded,5.693712804195374,56.66230148566355,3.959695951917982,44.11054151199086,aligned,aligned,aligned,False,1992.1424672986986,1993.0543061985966,-13.633116977305917,binance,-1.138774422735346,True,stop,fixed_2r,hold_to_target_stop_or_expiry,context_change,1981.4,1896.9499999999998,2026-02-11 14:00:00+00:00,-0.002846936056838365,0.0025,1
BNBUSDT,context_change,15,2026-02-13 05:30:00+00:00,short,asia,602.15,612.0,582.4499999999999,1.6358050319687825,3.271610063937565,2.0,-1.0,0.03667918781725879,0.12226395939086265,-1.0366791878172588,-1.1222639593908625,0.9807106598984716,-1.052791878172587,39,stop,trend,directional,no_shock,expanded,6.194339622641497,31.712853274577906,7.672955974842539,47.610062893081455,aligned,aligned,aligned,False,610.3149194007455,607.9263345819303,-2.4407610256145063,binance,-1.1222639593908625,True,stop,fixed_2r,hold_to_target_stop_or_expiry,context_change,612.0,582.4499999999999,2026-02-13 15:15:00+00:00,-0.0028056598984771562,0.0025,0
XRPUSDT,context_change,15,2026-02-15 04:00:00+00:00,long,asia,1.5373,1.5154,1.5811000000000002,1.4245755545436822,2.8491511090873645,2.0,2.0,0.04211780821917802,0.14039269406392677,1.957882191780822,1.8596073059360732,2.0502283105022774,-0.16438356164383755,6,target,strong_trend,directional,no_shock,normal,2.669314796425027,58.259564259200054,19.960278053624766,17.676266137040553,aligned,aligned,aligned,False,1.5226163577709646,1.5188074706107375,0.003880944117438112,binance,1.8596073059360732,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,1.5154,1.5811000000000002,2026-02-15 05:30:00+00:00,0.004649018264840183,0.0025,0
BNBUSDT,context_change,15,2026-02-24 05:00:00+00:00,short,asia,593.91,601.51,578.7099999999999,1.2796551666077391,2.5593103332154783,2.0,2.0,0.04688763157894722,0.1562921052631574,1.9531123684210527,1.8437078947368426,2.044736842105252,-0.0,37,target,strong_trend,directional,no_shock,normal,4.693702770780899,41.574035522384165,8.28715365239318,26.876574307305095,aligned,aligned,aligned,False,596.1164703782495,595.1628216930627,-1.8895821718318757,binance,1.8437078947368426,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,601.51,578.7099999999999,2026-02-24 14:15:00+00:00,0.0046092697368421065,0.0025,0
BNBUSDT,context_change,15,2026-02-25 00:00:00+00:00,short,asia,582.99,586.74,575.49,0.6432357330314413,1.2864714660628827,2.0,-1.0,0.0932784,0.310928,-1.0932784,-1.310928,0.3946666666666715,-3.7466666666666546,4,stop,trend,directional,no_shock,normal,3.9682654165163553,30.397154097624366,9.231878831589723,32.70825820411083,aligned,flat,aligned,False,583.3033333333334,585.5696518389889,-0.869762244221306,binance,-1.310928,True,stop,fixed_2r,hold_to_target_stop_or_expiry,context_change,586.74,575.49,2026-02-25 01:00:00+00:00,-0.0032773200000000002,0.0025,0
